country,country_code,year,value
Afghanistan,AFG,2025,
Afghanistan,AFG,2024,87.8
Afghanistan,AFG,2023,85.3
Afghanistan,AFG,2022,85.3
Afghanistan,AFG,2021,97.7
Afghanistan,AFG,2020,97.7
Afghanistan,AFG,2019,97.7
Afghanistan,AFG,2018,93.4
Afghanistan,AFG,2017,97.7
Afghanistan,AFG,2016,97.7
Afghanistan,AFG,2015,71.5
Afghanistan,AFG,2014,89.5
Afghanistan,AFG,2013,68.0
Afghanistan,AFG,2012,69.1
Afghanistan,AFG,2011,43.2
Afghanistan,AFG,2010,42.7
Afghanistan,AFG,2009,48.3
Afghanistan,AFG,2008,42.4
Afghanistan,AFG,2007,38.4
Afghanistan,AFG,2006,33.5
Afghanistan,AFG,2005,28.7
Afghanistan,AFG,2004,23.8
Afghanistan,AFG,2003,19.0
Afghanistan,AFG,2002,14.1
Afghanistan,AFG,2001,9.3
Afghanistan,AFG,2000,4.4
Afghanistan,AFG,1999,
Afghanistan,AFG,1998,
Afghanistan,AFG,1997,
Afghanistan,AFG,1996,
Afghanistan,AFG,1995,
Afghanistan,AFG,1994,
Afghanistan,AFG,1993,
Afghanistan,AFG,1992,
Afghanistan,AFG,1991,
Afghanistan,AFG,1990,
Afghanistan,AFG,1989,
Afghanistan,AFG,1988,
Afghanistan,AFG,1987,
Afghanistan,AFG,1986,
Afghanistan,AFG,1985,
Afghanistan,AFG,1984,
Afghanistan,AFG,1983,
Afghanistan,AFG,1982,
Afghanistan,AFG,1981,
Afghanistan,AFG,1980,
Afghanistan,AFG,1979,
Afghanistan,AFG,1978,
Afghanistan,AFG,1977,
Afghanistan,AFG,1976,
Afghanistan,AFG,1975,
Afghanistan,AFG,1974,
Afghanistan,AFG,1973,
Afghanistan,AFG,1972,
Afghanistan,AFG,1971,
Afghanistan,AFG,1970,
Afghanistan,AFG,1969,
Afghanistan,AFG,1968,
Afghanistan,AFG,1967,
Afghanistan,AFG,1966,
Afghanistan,AFG,1965,
Afghanistan,AFG,1964,
Afghanistan,AFG,1963,
Afghanistan,AFG,1962,
Afghanistan,AFG,1961,
Afghanistan,AFG,1960,
