country,country_code,year,value
Afghanistan,AFG,2025,
Afghanistan,AFG,2024,416.871146273728
Afghanistan,AFG,2023,413.757894705303
Afghanistan,AFG,2022,357.261152798144
Afghanistan,AFG,2021,356.496214115892
Afghanistan,AFG,2020,510.787063366811
Afghanistan,AFG,2019,496.6025042585
Afghanistan,AFG,2018,491.337221382603
Afghanistan,AFG,2017,525.469770891619
Afghanistan,AFG,2016,522.082215583898
Afghanistan,AFG,2015,565.569730408751
Afghanistan,AFG,2014,625.054941813938
Afghanistan,AFG,2013,637.087099117099
Afghanistan,AFG,2012,651.417134470046
Afghanistan,AFG,2011,606.694676337726
Afghanistan,AFG,2010,560.621505463146
Afghanistan,AFG,2009,452.053705477043
Afghanistan,AFG,2008,381.73323802844
Afghanistan,AFG,2007,376.223152003876
Afghanistan,AFG,2006,274.218553561575
Afghanistan,AFG,2005,254.184249149336
Afghanistan,AFG,2004,221.763653873013
Afghanistan,AFG,2003,198.871115728727
Afghanistan,AFG,2002,178.954088379235
Afghanistan,AFG,2001,138.706821676113
Afghanistan,AFG,2000,174.930991430166
Afghanistan,AFG,1999,
Afghanistan,AFG,1998,
Afghanistan,AFG,1997,
Afghanistan,AFG,1996,
Afghanistan,AFG,1995,
Afghanistan,AFG,1994,
Afghanistan,AFG,1993,
Afghanistan,AFG,1992,
Afghanistan,AFG,1991,
Afghanistan,AFG,1990,
Afghanistan,AFG,1989,
Afghanistan,AFG,1988,
Afghanistan,AFG,1987,
Afghanistan,AFG,1986,
Afghanistan,AFG,1985,
Afghanistan,AFG,1984,
Afghanistan,AFG,1983,
Afghanistan,AFG,1982,
Afghanistan,AFG,1981,
Afghanistan,AFG,1980,
Afghanistan,AFG,1979,
Afghanistan,AFG,1978,
Afghanistan,AFG,1977,
Afghanistan,AFG,1976,
Afghanistan,AFG,1975,
Afghanistan,AFG,1974,
Afghanistan,AFG,1973,
Afghanistan,AFG,1972,
Afghanistan,AFG,1971,
Afghanistan,AFG,1970,
Afghanistan,AFG,1969,
Afghanistan,AFG,1968,
Afghanistan,AFG,1967,
Afghanistan,AFG,1966,
Afghanistan,AFG,1965,
Afghanistan,AFG,1964,
Afghanistan,AFG,1963,
Afghanistan,AFG,1962,
Afghanistan,AFG,1961,
Afghanistan,AFG,1960,
