country,country_code,year,value
Afghanistan,AFG,2025,
Afghanistan,AFG,2024,
Afghanistan,AFG,2023,59.6136016845703
Afghanistan,AFG,2022,
Afghanistan,AFG,2021,
Afghanistan,AFG,2020,
Afghanistan,AFG,2019,
Afghanistan,AFG,2018,57.3578491210938
Afghanistan,AFG,2017,55.5364303588867
Afghanistan,AFG,2016,53.4350395202637
Afghanistan,AFG,2015,53.1501083374023
Afghanistan,AFG,2014,54.2936515808105
Afghanistan,AFG,2013,54.8833694458008
Afghanistan,AFG,2012,54.372859954834
Afghanistan,AFG,2011,52.4474296569824
Afghanistan,AFG,2010,50.4406204223633
Afghanistan,AFG,2009,44.2999496459961
Afghanistan,AFG,2008,38.930850982666
Afghanistan,AFG,2007,28.8154907226562
Afghanistan,AFG,2006,29.523889541626
Afghanistan,AFG,2005,20.2735099792481
Afghanistan,AFG,2004,19.2143802642822
Afghanistan,AFG,2003,13.959529876709
Afghanistan,AFG,2002,
Afghanistan,AFG,2001,14.0404100418091
Afghanistan,AFG,2000,
Afghanistan,AFG,1999,
Afghanistan,AFG,1998,
Afghanistan,AFG,1997,
Afghanistan,AFG,1996,
Afghanistan,AFG,1995,23.0545196533203
Afghanistan,AFG,1994,23.4685802459717
Afghanistan,AFG,1993,17.4169101715088
Afghanistan,AFG,1992,
Afghanistan,AFG,1991,17.1836109161377
Afghanistan,AFG,1990,11.0395498275757
Afghanistan,AFG,1989,12.6811199188232
Afghanistan,AFG,1988,13.2139596939087
Afghanistan,AFG,1987,
Afghanistan,AFG,1986,12.1385698318481
Afghanistan,AFG,1985,13.4969701766968
Afghanistan,AFG,1984,13.6493997573853
Afghanistan,AFG,1983,
Afghanistan,AFG,1982,12.295000076294
Afghanistan,AFG,1981,20.0920791625977
Afghanistan,AFG,1980,16.732780456543
Afghanistan,AFG,1979,
Afghanistan,AFG,1978,13.8213396072388
Afghanistan,AFG,1977,13.2592697143555
Afghanistan,AFG,1976,12.4582595825195
Afghanistan,AFG,1975,11.5955896377563
Afghanistan,AFG,1974,11.0948801040649
Afghanistan,AFG,1973,10.9321804046631
Afghanistan,AFG,1972,10.4142398834228
Afghanistan,AFG,1971,9.37827014923096
Afghanistan,AFG,1970,8.36410045623779
Afghanistan,AFG,1969,
Afghanistan,AFG,1968,
Afghanistan,AFG,1967,
Afghanistan,AFG,1966,
Afghanistan,AFG,1965,
Afghanistan,AFG,1964,
Afghanistan,AFG,1963,
Afghanistan,AFG,1962,
Afghanistan,AFG,1961,
Afghanistan,AFG,1960,
