country,country_code,year,value
Australia,AUS,2025,1798518933689.21
Australia,AUS,2024,1757022451652.83
Australia,AUS,2023,1734451264655.6
Australia,AUS,2022,1695627535475.8
Australia,AUS,2021,1560617493202.69
Australia,AUS,2020,1333336461648.09
Australia,AUS,2019,1398349602956.35
Australia,AUS,2018,1433144978761.67
Australia,AUS,2017,1330890554614.09
Australia,AUS,2016,1211588128417.61
Australia,AUS,2015,1356805839935.9
Australia,AUS,2014,1474677007565.64
Australia,AUS,2013,1583737461925.39
Australia,AUS,2012,1552728401401.58
Australia,AUS,2011,1402939868653.4
Australia,AUS,2010,1152566632022.13
Australia,AUS,2009,931761689770.843
Australia,AUS,2008,1058448244063.77
Australia,AUS,2007,856603595823.192
Australia,AUS,2006,749708370332.989
Australia,AUS,2005,696811489612.816
Australia,AUS,2004,615643050220.515
Australia,AUS,2003,468517181129.878
Australia,AUS,2002,396436967262.563
Australia,AUS,2001,380360222861.197
Australia,AUS,2000,416901962163.479
Australia,AUS,1999,390347787943.351
Australia,AUS,1998,400361527504.578
Australia,AUS,1997,436321902767.408
Australia,AUS,1996,401962517479.122
Australia,AUS,1995,368725126225.126
Australia,AUS,1994,323269456935.317
Australia,AUS,1993,312568858909.5
Australia,AUS,1992,325982966981.415
Australia,AUS,1991,326416407860.792
Australia,AUS,1990,311840666465.053
Australia,AUS,1989,300264309002.14
Australia,AUS,1988,236461079970.431
Australia,AUS,1987,189726707252.515
Australia,AUS,1986,182707050923.335
Australia,AUS,1985,180861108959.102
Australia,AUS,1984,193749932078.26
Australia,AUS,1983,177523719680.081
Australia,AUS,1982,194323071830.52
Australia,AUS,1981,177151979565.773
Australia,AUS,1980,150200557103.064
Australia,AUS,1979,135093718050.665
Australia,AUS,1978,118660813779.849
Australia,AUS,1977,110504702913.512
Australia,AUS,1976,105209354855.787
Australia,AUS,1975,97440939505.6671
Australia,AUS,1974,89086219602.0634
Australia,AUS,1973,63923126201.1531
Australia,AUS,1972,52117990654.2056
Australia,AUS,1971,45283847245.4156
Australia,AUS,1970,41395206623.2331
Australia,AUS,1969,36738245878.1193
Australia,AUS,1968,32763365242.1384
Australia,AUS,1967,30487524878.004
Australia,AUS,1966,27349284375.8855
Australia,AUS,1965,26014244162.2791
Australia,AUS,1964,23835843813.735
Australia,AUS,1963,21573443451.751
Australia,AUS,1962,19953923192.6277
Australia,AUS,1961,19713123154.0997
Australia,AUS,1960,18635682981.7093
