country,country_code,year,value
Australia,AUS,2025,27614411
Australia,AUS,2024,27194286
Australia,AUS,2023,26659922
Australia,AUS,2022,26018721
Australia,AUS,2021,25685412
Australia,AUS,2020,25649248
Australia,AUS,2019,25334826
Australia,AUS,2018,24963258
Australia,AUS,2017,24592588
Australia,AUS,2016,24190907
Australia,AUS,2015,23815995
Australia,AUS,2014,23475686
Australia,AUS,2013,23128129
Australia,AUS,2012,22733465
Australia,AUS,2011,22340024
Australia,AUS,2010,22031750
Australia,AUS,2009,21691653
Australia,AUS,2008,21249199
Australia,AUS,2007,20827622
Australia,AUS,2006,20450966
Australia,AUS,2005,20176844
Australia,AUS,2004,19932722
Australia,AUS,2003,19720737
Australia,AUS,2002,19495210
Australia,AUS,2001,19274701
Australia,AUS,2000,19028802
Australia,AUS,1999,18812264
Australia,AUS,1998,18607584
Australia,AUS,1997,18423037
Australia,AUS,1996,18224767
Australia,AUS,1995,18004882
Australia,AUS,1994,17805468
Australia,AUS,1993,17634808
Australia,AUS,1992,17478635
Australia,AUS,1991,17284036
Australia,AUS,1990,17065128
Australia,AUS,1989,16814416
Australia,AUS,1988,16532164
Australia,AUS,1987,16263874
Australia,AUS,1986,16018350
Australia,AUS,1985,15788312
Australia,AUS,1984,15579391
Australia,AUS,1983,15393472
Australia,AUS,1982,15184247
Australia,AUS,1981,14923260
Australia,AUS,1980,14692000
Australia,AUS,1979,14514000
Australia,AUS,1978,14358000
Australia,AUS,1977,14192000
Australia,AUS,1976,14033000
Australia,AUS,1975,13893000
Australia,AUS,1974,13723000
Australia,AUS,1973,13380000
Australia,AUS,1972,13177000
Australia,AUS,1971,12937000
Australia,AUS,1970,12507000
Australia,AUS,1969,12263000
Australia,AUS,1968,12009000
Australia,AUS,1967,11799000
Australia,AUS,1966,11651000
Australia,AUS,1965,11388000
Australia,AUS,1964,11167000
Australia,AUS,1963,10950000
Australia,AUS,1962,10742000
Australia,AUS,1961,10483000
Australia,AUS,1960,10276477
