country,country_code,year,value
Brazil,BRA,2025,
Brazil,BRA,2024,99.8
Brazil,BRA,2023,99.8
Brazil,BRA,2022,100.0
Brazil,BRA,2021,99.5
Brazil,BRA,2020,99.7
Brazil,BRA,2019,99.8
Brazil,BRA,2018,99.7
Brazil,BRA,2017,99.8
Brazil,BRA,2016,99.7
Brazil,BRA,2015,99.7
Brazil,BRA,2014,99.7
Brazil,BRA,2013,99.6
Brazil,BRA,2012,99.5
Brazil,BRA,2011,99.3
Brazil,BRA,2010,98.6
Brazil,BRA,2009,98.9
Brazil,BRA,2008,98.5
Brazil,BRA,2007,98.1
Brazil,BRA,2006,97.6
Brazil,BRA,2005,97.1
Brazil,BRA,2004,96.8
Brazil,BRA,2003,97.0
Brazil,BRA,2002,96.7
Brazil,BRA,2001,96.0
Brazil,BRA,2000,94.4
Brazil,BRA,1999,94.76296
Brazil,BRA,1998,94.193812
Brazil,BRA,1997,93.354139
Brazil,BRA,1996,92.867095
Brazil,BRA,1995,91.728598
Brazil,BRA,1994,91.8837280273438
Brazil,BRA,1993,89.999927
Brazil,BRA,1992,88.803833
Brazil,BRA,1991,90.6065444946289
Brazil,BRA,1990,87.475116
Brazil,BRA,1989,
Brazil,BRA,1988,
Brazil,BRA,1987,
Brazil,BRA,1986,
Brazil,BRA,1985,
Brazil,BRA,1984,
Brazil,BRA,1983,
Brazil,BRA,1982,
Brazil,BRA,1981,
Brazil,BRA,1980,
Brazil,BRA,1979,
Brazil,BRA,1978,
Brazil,BRA,1977,
Brazil,BRA,1976,
Brazil,BRA,1975,
Brazil,BRA,1974,
Brazil,BRA,1973,
Brazil,BRA,1972,
Brazil,BRA,1971,
Brazil,BRA,1970,
Brazil,BRA,1969,
Brazil,BRA,1968,
Brazil,BRA,1967,
Brazil,BRA,1966,
Brazil,BRA,1965,
Brazil,BRA,1964,
Brazil,BRA,1963,
Brazil,BRA,1962,
Brazil,BRA,1961,
Brazil,BRA,1960,
