country,country_code,year,value
Brazil,BRA,2025,2279920092492.13
Brazil,BRA,2024,2185821610689.31
Brazil,BRA,2023,2191131765684.63
Brazil,BRA,2022,1951923942083.32
Brazil,BRA,2021,1670647398904.9
Brazil,BRA,2020,1476107231310.49
Brazil,BRA,2019,1873288205059.69
Brazil,BRA,2018,1916933898010.99
Brazil,BRA,2017,2063514977365.65
Brazil,BRA,2016,1795693482853.01
Brazil,BRA,2015,1802212206814.5
Brazil,BRA,2014,2456043727198.85
Brazil,BRA,2013,2472819535557.21
Brazil,BRA,2012,2465227802806.76
Brazil,BRA,2011,2616156223917.69
Brazil,BRA,2010,2208837745100.55
Brazil,BRA,2009,1666996438581.43
Brazil,BRA,2008,1695855083497.52
Brazil,BRA,2007,1397114486368.67
Brazil,BRA,2006,1107626541434.92
Brazil,BRA,2005,891633839894.183
Brazil,BRA,2004,669289424806.307
Brazil,BRA,2003,558233745651.874
Brazil,BRA,2002,509795273806.715
Brazil,BRA,2001,559983634798.981
Brazil,BRA,2000,655448231983.527
Brazil,BRA,1999,599642024319.531
Brazil,BRA,1998,863710759256.435
Brazil,BRA,1997,883206179730.462
Brazil,BRA,1996,850426432991.742
Brazil,BRA,1995,769333050986.905
Brazil,BRA,1994,525369467295.737
Brazil,BRA,1993,368292034380.96
Brazil,BRA,1992,328191909882.232
Brazil,BRA,1991,342534090909.091
Brazil,BRA,1990,384959818181.817
Brazil,BRA,1989,412990820287.42
Brazil,BRA,1988,307881930752.268
Brazil,BRA,1987,283056836893.838
Brazil,BRA,1986,256480852471.129
Brazil,BRA,1985,210879844638.877
Brazil,BRA,1984,188339974086.58
Brazil,BRA,1983,189656506321.431
Brazil,BRA,1982,271314113768.417
Brazil,BRA,1981,258015174748.648
Brazil,BRA,1980,237393489892.637
Brazil,BRA,1979,221338204480.222
Brazil,BRA,1978,200278646123.581
Brazil,BRA,1977,176344101401.941
Brazil,BRA,1976,153168949208.207
Brazil,BRA,1975,129203555238.827
Brazil,BRA,1974,109794519727.538
Brazil,BRA,1973,83592275862.9982
Brazil,BRA,1972,58434858374.8696
Brazil,BRA,1971,48869830901.7878
Brazil,BRA,1970,42327664793.6934
Brazil,BRA,1969,37171640818.5863
Brazil,BRA,1968,33930457425.2613
Brazil,BRA,1967,31086389194.961
Brazil,BRA,1966,28283323733.1114
Brazil,BRA,1965,22465522884.0988
Brazil,BRA,1964,20963733694.9749
Brazil,BRA,1963,23287712878.2002
Brazil,BRA,1962,19231747851.5332
Brazil,BRA,1961,17275940449.3837
Brazil,BRA,1960,17030465539.3906
