country,country_code,year,value
Brazil,BRA,2025,10713.2856869511
Brazil,BRA,2024,10310.5486973693
Brazil,BRA,2023,10377.5892792557
Brazil,BRA,2022,9281.33334441234
Brazil,BRA,2021,7972.5366498646
Brazil,BRA,2020,7074.19378337644
Brazil,BRA,2019,9029.83326681073
Brazil,BRA,2018,9300.66164923219
Brazil,BRA,2017,10080.5092819305
Brazil,BRA,2016,8836.28652735657
Brazil,BRA,2015,8936.19661712113
Brazil,BRA,2014,12274.9939689363
Brazil,BRA,2013,12458.8912138813
Brazil,BRA,2012,12521.7213519966
Brazil,BRA,2011,13396.6243562986
Brazil,BRA,2010,11403.2821278747
Brazil,BRA,2009,8678.6592244676
Brazil,BRA,2008,8908.33176538648
Brazil,BRA,2007,7409.69130673473
Brazil,BRA,2006,5934.14470924968
Brazil,BRA,2005,4827.78173074714
Brazil,BRA,2004,3663.823188064
Brazil,BRA,2003,3090.6070097455
Brazil,BRA,2002,2855.94018885769
Brazil,BRA,2001,3176.28935747524
Brazil,BRA,2000,3766.54811466032
Brazil,BRA,1999,3493.57162513699
Brazil,BRA,1998,5105.89099544117
Brazil,BRA,1997,5299.39630404412
Brazil,BRA,1996,5179.13052002464
Brazil,BRA,1995,4756.74840785403
Brazil,BRA,1994,3298.71250747787
Brazil,BRA,1993,2348.88247685352
Brazil,BRA,1992,2127.31642731638
Brazil,BRA,1991,2257.6092968885
Brazil,BRA,1990,2581.14187449078
Brazil,BRA,1989,2818.99277980122
Brazil,BRA,1988,2140.65027561164
Brazil,BRA,1987,2006.00226235757
Brazil,BRA,1986,1854.03775211919
Brazil,BRA,1985,1556.1297180511
Brazil,BRA,1984,1419.73154606978
Brazil,BRA,1983,1461.25582714178
Brazil,BRA,1982,2137.6250359394
Brazil,BRA,1981,2079.70908377484
Brazil,BRA,1980,1958.57159232662
Brazil,BRA,1979,1869.7133759549
Brazil,BRA,1978,1732.50012204556
Brazil,BRA,1977,1562.29143045708
Brazil,BRA,1976,1389.74952306555
Brazil,BRA,1975,1200.55823714607
Brazil,BRA,1974,1044.76980947499
Brazil,BRA,1973,814.731780553415
Brazil,BRA,1972,583.492034946156
Brazil,BRA,1971,500.001988983361
Brazil,BRA,1970,443.799484982738
Brazil,BRA,1969,399.49841913391
Brazil,BRA,1968,373.925432639683
Brazil,BRA,1967,351.472600370379
Brazil,BRA,1966,328.343791519407
Brazil,BRA,1965,268.028760553723
Brazil,BRA,1964,257.259726897671
Brazil,BRA,1963,294.169619376733
Brazil,BRA,1962,250.200572910273
Brazil,BRA,1961,231.564063269854
Brazil,BRA,1960,235.266009502589
