country,country_code,year,value
Brazil,BRA,2025,
Brazil,BRA,2024,76.023
Brazil,BRA,2023,75.848
Brazil,BRA,2022,74.872
Brazil,BRA,2021,73.038
Brazil,BRA,2020,74.506
Brazil,BRA,2019,75.809
Brazil,BRA,2018,75.633
Brazil,BRA,2017,75.383
Brazil,BRA,2016,75.081
Brazil,BRA,2015,75.106
Brazil,BRA,2014,74.823
Brazil,BRA,2013,74.609
Brazil,BRA,2012,74.335
Brazil,BRA,2011,74.047
Brazil,BRA,2010,73.779
Brazil,BRA,2009,73.457
Brazil,BRA,2008,73.111
Brazil,BRA,2007,72.73
Brazil,BRA,2006,72.296
Brazil,BRA,2005,71.832
Brazil,BRA,2004,71.361
Brazil,BRA,2003,70.884
Brazil,BRA,2002,70.396
Brazil,BRA,2001,69.98
Brazil,BRA,2000,69.584
Brazil,BRA,1999,69.211
Brazil,BRA,1998,68.848
Brazil,BRA,1997,68.505
Brazil,BRA,1996,68.108
Brazil,BRA,1995,67.701
Brazil,BRA,1994,67.293
Brazil,BRA,1993,66.892
Brazil,BRA,1992,66.539
Brazil,BRA,1991,66.203
Brazil,BRA,1990,65.862
Brazil,BRA,1989,65.514
Brazil,BRA,1988,65.161
Brazil,BRA,1987,64.785
Brazil,BRA,1986,64.389
Brazil,BRA,1985,63.98
Brazil,BRA,1984,63.553
Brazil,BRA,1983,63.133
Brazil,BRA,1982,62.708
Brazil,BRA,1981,62.267
Brazil,BRA,1980,61.819
Brazil,BRA,1979,61.365
Brazil,BRA,1978,60.922
Brazil,BRA,1977,60.461
Brazil,BRA,1976,60.007
Brazil,BRA,1975,59.556
Brazil,BRA,1974,59.081
Brazil,BRA,1973,58.681
Brazil,BRA,1972,58.255
Brazil,BRA,1971,57.786
Brazil,BRA,1970,57.338
Brazil,BRA,1969,56.898
Brazil,BRA,1968,56.47
Brazil,BRA,1967,56.016
Brazil,BRA,1966,55.625
Brazil,BRA,1965,55.243
Brazil,BRA,1964,54.848
Brazil,BRA,1963,54.452
Brazil,BRA,1962,54.017
Brazil,BRA,1961,53.594
Brazil,BRA,1960,53.162
