country,country_code,year,value
Brazil,BRA,2025,212812405
Brazil,BRA,2024,211998573
Brazil,BRA,2023,211140729
Brazil,BRA,2022,210306415
Brazil,BRA,2021,209550294
Brazil,BRA,2020,208660842
Brazil,BRA,2019,207455459
Brazil,BRA,2018,206107261
Brazil,BRA,2017,204703445
Brazil,BRA,2016,203218114
Brazil,BRA,2015,201675532
Brazil,BRA,2014,200085127
Brazil,BRA,2013,198478299
Brazil,BRA,2012,196876111
Brazil,BRA,2011,195284734
Brazil,BRA,2010,193701929
Brazil,BRA,2009,192079951
Brazil,BRA,2008,190367302
Brazil,BRA,2007,188552320
Brazil,BRA,2006,186653106
Brazil,BRA,2005,184688101
Brazil,BRA,2004,182675143
Brazil,BRA,2003,180622688
Brazil,BRA,2002,178503484
Brazil,BRA,2001,176301203
Brazil,BRA,2000,174018282
Brazil,BRA,1999,171641543
Brazil,BRA,1998,169159655
Brazil,BRA,1997,166661659
Brazil,BRA,1996,164202549
Brazil,BRA,1995,161735073
Brazil,BRA,1994,159265006
Brazil,BRA,1993,156794577
Brazil,BRA,1992,154275079
Brazil,BRA,1991,151724256
Brazil,BRA,1990,149143223
Brazil,BRA,1989,146502972
Brazil,BRA,1988,143826357
Brazil,BRA,1987,141104944
Brazil,BRA,1986,138336370
Brazil,BRA,1985,135515595
Brazil,BRA,1984,132658864
Brazil,BRA,1983,129790077
Brazil,BRA,1982,126923155
Brazil,BRA,1981,124063109
Brazil,BRA,1980,121207461
Brazil,BRA,1979,118380821
Brazil,BRA,1978,115600942
Brazil,BRA,1977,112875292
Brazil,BRA,1976,110213349
Brazil,BRA,1975,107619565
Brazil,BRA,1974,105089675
Brazil,BRA,1973,102600976
Brazil,BRA,1972,100146797
Brazil,BRA,1971,97739273
Brazil,BRA,1970,95375651
Brazil,BRA,1969,93045777
Brazil,BRA,1968,90741240
Brazil,BRA,1967,88446124
Brazil,BRA,1966,86139359
Brazil,BRA,1965,83817583
Brazil,BRA,1964,81488595
Brazil,BRA,1963,79164235
Brazil,BRA,1962,76865323
Brazil,BRA,1961,74605447
Brazil,BRA,1960,72388126
