country,country_code,year,value
Brazil,BRA,2025,5.97
Brazil,BRA,2024,6.801
Brazil,BRA,2023,7.947
Brazil,BRA,2022,9.231
Brazil,BRA,2021,13.158
Brazil,BRA,2020,13.697
Brazil,BRA,2019,11.936
Brazil,BRA,2018,12.329
Brazil,BRA,2017,12.792
Brazil,BRA,2016,11.58
Brazil,BRA,2015,8.538
Brazil,BRA,2014,6.755
Brazil,BRA,2013,7.071
Brazil,BRA,2012,7.251
Brazil,BRA,2011,7.578
Brazil,BRA,2010,8.42
Brazil,BRA,2009,9.419
Brazil,BRA,2008,8.268
Brazil,BRA,2007,9.28
Brazil,BRA,2006,9.692
Brazil,BRA,2005,10.551
Brazil,BRA,2004,10.072
Brazil,BRA,2003,11.168
Brazil,BRA,2002,10.641
Brazil,BRA,2001,10.649
Brazil,BRA,2000,10.889
Brazil,BRA,1999,11.125
Brazil,BRA,1998,10.15
Brazil,BRA,1997,9.003
Brazil,BRA,1996,8.035
Brazil,BRA,1995,7.092
Brazil,BRA,1994,6.579
Brazil,BRA,1993,6.03
Brazil,BRA,1992,7.086
Brazil,BRA,1991,6.887
Brazil,BRA,1990,
Brazil,BRA,1989,
Brazil,BRA,1988,
Brazil,BRA,1987,
Brazil,BRA,1986,
Brazil,BRA,1985,
Brazil,BRA,1984,
Brazil,BRA,1983,
Brazil,BRA,1982,
Brazil,BRA,1981,
Brazil,BRA,1980,
Brazil,BRA,1979,
Brazil,BRA,1978,
Brazil,BRA,1977,
Brazil,BRA,1976,
Brazil,BRA,1975,
Brazil,BRA,1974,
Brazil,BRA,1973,
Brazil,BRA,1972,
Brazil,BRA,1971,
Brazil,BRA,1970,
Brazil,BRA,1969,
Brazil,BRA,1968,
Brazil,BRA,1967,
Brazil,BRA,1966,
Brazil,BRA,1965,
Brazil,BRA,1964,
Brazil,BRA,1963,
Brazil,BRA,1962,
Brazil,BRA,1961,
Brazil,BRA,1960,
