country,country_code,year,value
Canada,CAN,2025,2319899772425.92
Canada,CAN,2024,2270076189683.46
Canada,CAN,2023,2196593836347.42
Canada,CAN,2022,2200562785046.32
Canada,CAN,2021,2022377950896.78
Canada,CAN,2020,1655686966881.99
Canada,CAN,2019,1743728952156.85
Canada,CAN,2018,1725330736237.69
Canada,CAN,2017,1649269496514.62
Canada,CAN,2016,1527996250640.92
Canada,CAN,2015,1556510380200.23
Canada,CAN,2014,1805751688808.98
Canada,CAN,2013,1846583831414.43
Canada,CAN,2012,1828359477071.97
Canada,CAN,2011,1793335727900.85
Canada,CAN,2010,1617349192091.46
Canada,CAN,2009,1374627766599.6
Canada,CAN,2008,1552993439550.14
Canada,CAN,2007,1468820407783.26
Canada,CAN,2006,1319291255289.14
Canada,CAN,2005,1173118501402.87
Canada,CAN,2004,1026691006917.76
Canada,CAN,2003,895542074084.648
Canada,CAN,2002,760650608551.583
Canada,CAN,2001,738981792355.372
Canada,CAN,2000,744773415931.587
Canada,CAN,1999,678414215521.303
Canada,CAN,1998,633999325918.436
Canada,CAN,1997,654987722085.801
Canada,CAN,1996,630607994132.747
Canada,CAN,1995,605961090061.207
Canada,CAN,1994,579944346807.264
Canada,CAN,1993,579053561739.4
Canada,CAN,1992,594387358318.855
Canada,CAN,1991,612527712315.615
Canada,CAN,1990,596075591360.987
Canada,CAN,1989,567211993243.243
Canada,CAN,1988,509380027626.554
Canada,CAN,1987,433134238310.709
Canada,CAN,1986,379006836991.724
Canada,CAN,1985,366186012449.652
Canada,CAN,1984,356718400123.543
Canada,CAN,1983,341866277182.733
Canada,CAN,1982,314647807408.608
Canada,CAN,1981,307246642755.859
Canada,CAN,1980,274776566028.053
Canada,CAN,1979,243891124295.715
Canada,CAN,1978,219369542386.254
Canada,CAN,1977,212325176304.654
Canada,CAN,1976,207271612576.065
Canada,CAN,1975,174419757176.563
Canada,CAN,1974,160949188139.059
Canada,CAN,1973,131764343565.643
Canada,CAN,1972,113463848873.624
Canada,CAN,1971,99606454743.5136
Canada,CAN,1970,88192257632.3093
Canada,CAN,1969,79405011124.8208
Canada,CAN,1968,72048833006.1602
Canada,CAN,1967,65856924423.9721
Canada,CAN,1966,61252415404.686
Canada,CAN,1965,54649410478.5226
Canada,CAN,1964,49503663836.3665
Canada,CAN,1963,45140337826.9869
Canada,CAN,1962,42336211555.8268
Canada,CAN,1961,41038192837.9035
Canada,CAN,1960,40563768946.9503
