country,country_code,year,value
Canada,CAN,2025,55697.6639660837
Canada,CAN,2024,55015.7066917734
Canada,CAN,2023,54847.5370112652
Canada,CAN,2022,56496.9275340663
Canada,CAN,2021,52886.6407813788
Canada,CAN,2020,43537.8981198851
Canada,CAN,2019,46352.9695208927
Canada,CAN,2018,46539.2177903178
Canada,CAN,2017,45129.7335281051
Canada,CAN,2016,42314.1033623905
Canada,CAN,2015,43594.2379080706
Canada,CAN,2014,50960.8942086685
Canada,CAN,2013,52637.7313222622
Canada,CAN,2012,52670.1429540952
Canada,CAN,2011,52224.1237767406
Canada,CAN,2010,47560.8378831258
Canada,CAN,2009,40874.9612318547
Canada,CAN,2008,46710.3654423328
Canada,CAN,2007,44660.0838892281
Canada,CAN,2006,40504.8490329826
Canada,CAN,2005,36383.9671341396
Canada,CAN,2004,32145.5653280273
Canada,CAN,2003,28301.9097055898
Canada,CAN,2002,24256.0598742201
Canada,CAN,2001,23822.096210932
Canada,CAN,2000,24271.0020563821
Canada,CAN,1999,22315.3130930482
Canada,CAN,1998,21024.5627149423
Canada,CAN,1997,21901.5870048928
Canada,CAN,1996,21296.9723536904
Canada,CAN,1995,20679.634792669
Canada,CAN,1994,19997.6237373354
Canada,CAN,1993,20186.7988782965
Canada,CAN,1992,20950.3305287651
Canada,CAN,1991,21846.7930471354
Canada,CAN,1990,21525.8611387148
Canada,CAN,1989,20794.682233334
Canada,CAN,1988,19012.5723278349
Canada,CAN,1987,16377.6902109541
Canada,CAN,1986,14521.1800806
Canada,CAN,1985,14170.1249406067
Canada,CAN,1984,13930.4745502555
Canada,CAN,1983,13477.1031699599
Canada,CAN,1982,12527.3135323802
Canada,CAN,1981,12379.0368643833
Canada,CAN,1980,11208.2027394178
Canada,CAN,1979,10077.5026707269
Canada,CAN,1978,9154.43325277735
Canada,CAN,1977,8949.10989272982
Canada,CAN,1976,8838.94710677652
Canada,CAN,1975,7536.52009823861
Canada,CAN,1974,7056.70847496589
Canada,CAN,1973,5858.33407318788
Canada,CAN,1972,5106.73708049128
Canada,CAN,1971,4535.39338907773
Canada,CAN,1970,4135.82149842006
Canada,CAN,1969,3776.15613110238
Canada,CAN,1968,3473.23722551871
Canada,CAN,1967,3226.38273682011
Canada,CAN,1966,3055.28807884507
Canada,CAN,1965,2777.18317301162
Canada,CAN,1964,2561.63849088572
Canada,CAN,1963,2380.31732899108
Canada,CAN,1962,2274.4284708191
Canada,CAN,1961,2246.08356619252
Canada,CAN,1960,2264.94849658191
