country,country_code,year,value
Canada,CAN,2025,
Canada,CAN,2024,
Canada,CAN,2023,104.320877075195
Canada,CAN,2022,107.467987060547
Canada,CAN,2021,108.337341308594
Canada,CAN,2020,109.628059387207
Canada,CAN,2019,110.980072021484
Canada,CAN,2018,111.833679199219
Canada,CAN,2017,111.974517822266
Canada,CAN,2016,111.607330322266
Canada,CAN,2015,111.737281799316
Canada,CAN,2014,111.68155670166
Canada,CAN,2013,111.407608032227
Canada,CAN,2012,110.873832702637
Canada,CAN,2011,102.823951721191
Canada,CAN,2010,102.510261535645
Canada,CAN,2009,102.979949951172
Canada,CAN,2008,102.278419494629
Canada,CAN,2007,101.272247314453
Canada,CAN,2006,100.449310302734
Canada,CAN,2005,100.274856567383
Canada,CAN,2004,
Canada,CAN,2003,
Canada,CAN,2002,
Canada,CAN,2001,
Canada,CAN,2000,101.992736816406
Canada,CAN,1999,
Canada,CAN,1998,
Canada,CAN,1997,
Canada,CAN,1996,
Canada,CAN,1995,
Canada,CAN,1994,
Canada,CAN,1993,
Canada,CAN,1992,
Canada,CAN,1991,
Canada,CAN,1990,
Canada,CAN,1989,
Canada,CAN,1988,
Canada,CAN,1987,
Canada,CAN,1986,
Canada,CAN,1985,
Canada,CAN,1984,
Canada,CAN,1983,
Canada,CAN,1982,
Canada,CAN,1981,
Canada,CAN,1980,
Canada,CAN,1979,
Canada,CAN,1978,
Canada,CAN,1977,
Canada,CAN,1976,
Canada,CAN,1975,
Canada,CAN,1974,
Canada,CAN,1973,
Canada,CAN,1972,
Canada,CAN,1971,
Canada,CAN,1970,
Canada,CAN,1969,
Canada,CAN,1968,
Canada,CAN,1967,
Canada,CAN,1966,
Canada,CAN,1965,
Canada,CAN,1964,
Canada,CAN,1963,
Canada,CAN,1962,
Canada,CAN,1961,
Canada,CAN,1960,
