country,country_code,year,value
Canada,CAN,2025,6.907
Canada,CAN,2024,6.351
Canada,CAN,2023,5.415
Canada,CAN,2022,5.279
Canada,CAN,2021,7.527
Canada,CAN,2020,9.657
Canada,CAN,2019,5.69
Canada,CAN,2018,5.837
Canada,CAN,2017,6.426
Canada,CAN,2016,7.038
Canada,CAN,2015,6.945
Canada,CAN,2014,7.023
Canada,CAN,2013,7.143
Canada,CAN,2012,7.392
Canada,CAN,2011,7.637
Canada,CAN,2010,8.178
Canada,CAN,2009,8.46
Canada,CAN,2008,6.284
Canada,CAN,2007,6.156
Canada,CAN,2006,6.484
Canada,CAN,2005,6.758
Canada,CAN,2004,7.185
Canada,CAN,2003,7.574
Canada,CAN,2002,7.665
Canada,CAN,2001,7.219
Canada,CAN,2000,6.829
Canada,CAN,1999,7.583
Canada,CAN,1998,8.278
Canada,CAN,1997,9.1
Canada,CAN,1996,9.62
Canada,CAN,1995,9.489
Canada,CAN,1994,10.395
Canada,CAN,1993,11.377
Canada,CAN,1992,11.197
Canada,CAN,1991,10.316
Canada,CAN,1990,
Canada,CAN,1989,
Canada,CAN,1988,
Canada,CAN,1987,
Canada,CAN,1986,
Canada,CAN,1985,
Canada,CAN,1984,
Canada,CAN,1983,
Canada,CAN,1982,
Canada,CAN,1981,
Canada,CAN,1980,
Canada,CAN,1979,
Canada,CAN,1978,
Canada,CAN,1977,
Canada,CAN,1976,
Canada,CAN,1975,
Canada,CAN,1974,
Canada,CAN,1973,
Canada,CAN,1972,
Canada,CAN,1971,
Canada,CAN,1970,
Canada,CAN,1969,
Canada,CAN,1968,
Canada,CAN,1967,
Canada,CAN,1966,
Canada,CAN,1965,
Canada,CAN,1964,
Canada,CAN,1963,
Canada,CAN,1962,
Canada,CAN,1961,
Canada,CAN,1960,
