country,country_code,year,value
China,CHN,2025,
China,CHN,2024,100.0
China,CHN,2023,100.0
China,CHN,2022,100.0
China,CHN,2021,100.0
China,CHN,2020,100.0
China,CHN,2019,100.0
China,CHN,2018,100.0
China,CHN,2017,100.0
China,CHN,2016,100.0
China,CHN,2015,100.0
China,CHN,2014,100.0
China,CHN,2013,100.0
China,CHN,2012,99.9
China,CHN,2011,99.9
China,CHN,2010,99.7
China,CHN,2009,99.1
China,CHN,2008,98.8
China,CHN,2007,98.5
China,CHN,2006,98.2
China,CHN,2005,97.9
China,CHN,2004,97.7
China,CHN,2003,97.4
China,CHN,2002,97.2
China,CHN,2001,97.0
China,CHN,2000,96.7
China,CHN,1999,
China,CHN,1998,
China,CHN,1997,
China,CHN,1996,
China,CHN,1995,
China,CHN,1994,
China,CHN,1993,
China,CHN,1992,
China,CHN,1991,
China,CHN,1990,
China,CHN,1989,
China,CHN,1988,
China,CHN,1987,
China,CHN,1986,
China,CHN,1985,
China,CHN,1984,
China,CHN,1983,
China,CHN,1982,
China,CHN,1981,
China,CHN,1980,
China,CHN,1979,
China,CHN,1978,
China,CHN,1977,
China,CHN,1976,
China,CHN,1975,
China,CHN,1974,
China,CHN,1973,
China,CHN,1972,
China,CHN,1971,
China,CHN,1970,
China,CHN,1969,
China,CHN,1968,
China,CHN,1967,
China,CHN,1966,
China,CHN,1965,
China,CHN,1964,
China,CHN,1963,
China,CHN,1962,
China,CHN,1961,
China,CHN,1960,
