country,country_code,year,value
China,CHN,2025,19498039388042.6
China,CHN,2024,18729668435848.0
China,CHN,2023,18270356654533.2
China,CHN,2022,18316765021690.2
China,CHN,2021,18201698719564.0
China,CHN,2020,14996414166715.1
China,CHN,2019,14560167101283.4
China,CHN,2018,14147765772963.8
China,CHN,2017,12537559062282.9
China,CHN,2016,11456024084962.0
China,CHN,2015,11280814787468.9
China,CHN,2014,10674533168257.4
China,CHN,2013,9743124247267.24
China,CHN,2012,8673664713189.24
China,CHN,2011,7671757207851.29
China,CHN,2010,6192564874453.29
China,CHN,2009,5189577094997.58
China,CHN,2008,4667346414521.95
China,CHN,2007,3604055822571.63
China,CHN,2006,2791498472804.33
China,CHN,2005,2317551298052.05
China,CHN,2004,1984196551300.44
China,CHN,2003,1683903309843.85
China,CHN,2002,1489821682050.54
China,CHN,2001,1355036590251.52
China,CHN,2000,1223754919971.05
China,CHN,1999,1103843203575.64
China,CHN,1998,1037134141760.35
China,CHN,1997,967753570434.667
China,CHN,1996,868523936530.083
China,CHN,1995,738190896227.55
China,CHN,1994,566929539493.172
China,CHN,1993,446557291212.148
China,CHN,1992,428502354788.069
China,CHN,1991,384510452961.672
China,CHN,1990,361560229445.507
China,CHN,1989,348380566801.619
China,CHN,1988,312888888888.889
China,CHN,1987,273455156950.673
China,CHN,1986,301310144927.536
China,CHN,1985,310064625850.34
China,CHN,1984,260442857142.857
China,CHN,1983,231130268199.234
China,CHN,1982,205480916030.534
China,CHN,1981,196218253968.254
China,CHN,1980,191487500000.0
China,CHN,1979,178573913043.478
China,CHN,1978,149788617886.179
China,CHN,1977,175226595859.778
China,CHN,1976,154196810058.643
China,CHN,1975,163687619735.857
China,CHN,1974,144418433058.472
China,CHN,1973,138764340892.0
China,CHN,1972,113871930713.841
China,CHN,1971,99959013879.6308
China,CHN,1970,92752930873.1912
China,CHN,1969,79847786729.1898
China,CHN,1968,70980323818.7853
China,CHN,1967,73011350596.2485
China,CHN,1966,76854053259.209
China,CHN,1965,70565994356.1828
China,CHN,1964,59821862703.4023
China,CHN,1963,50812227918.5753
China,CHN,1962,47310737754.2287
China,CHN,1961,50162299349.7871
China,CHN,1960,59846235024.7318
