country,country_code,year,value
China,CHN,2025,
China,CHN,2024,78.017
China,CHN,2023,77.953
China,CHN,2022,78.202
China,CHN,2021,78.117
China,CHN,2020,78.019
China,CHN,2019,77.94
China,CHN,2018,77.709
China,CHN,2017,77.235
China,CHN,2016,77.214
China,CHN,2015,76.975
China,CHN,2014,76.714
China,CHN,2013,76.452
China,CHN,2012,76.2
China,CHN,2011,75.889
China,CHN,2010,75.668
China,CHN,2009,75.317
China,CHN,2008,74.833
China,CHN,2007,74.789
China,CHN,2006,74.404
China,CHN,2005,74.085
China,CHN,2004,73.727
China,CHN,2003,73.385
China,CHN,2002,73.034
China,CHN,2001,72.675
China,CHN,2000,72.288
China,CHN,1999,71.952
China,CHN,1998,71.601
China,CHN,1997,71.227
China,CHN,1996,70.823
China,CHN,1995,70.363
China,CHN,1994,69.835
China,CHN,1993,69.492
China,CHN,1992,69.059
China,CHN,1991,68.61
China,CHN,1990,68.155
China,CHN,1989,67.93
China,CHN,1988,67.607
China,CHN,1987,67.263
China,CHN,1986,66.887
China,CHN,1985,66.532
China,CHN,1984,66.148
China,CHN,1983,65.728
China,CHN,1982,65.249
China,CHN,1981,64.778
China,CHN,1980,64.243
China,CHN,1979,63.704
China,CHN,1978,63.102
China,CHN,1977,62.458
China,CHN,1976,61.225
China,CHN,1975,60.952
China,CHN,1974,60.241
China,CHN,1973,59.496
China,CHN,1972,58.579
China,CHN,1971,57.731
China,CHN,1970,56.824
China,CHN,1969,55.988
China,CHN,1968,55.191
China,CHN,1967,54.401
China,CHN,1966,53.662
China,CHN,1965,53.001
China,CHN,1964,52.343
China,CHN,1963,51.67
China,CHN,1962,50.959
China,CHN,1961,40.158
China,CHN,1960,33.419
