country,country_code,year,value
China,CHN,2025,1406585000
China,CHN,2024,1408975000
China,CHN,2023,1410710000
China,CHN,2022,1412175000
China,CHN,2021,1412360000
China,CHN,2020,1411100000
China,CHN,2019,1407745000
China,CHN,2018,1402760000
China,CHN,2017,1396215000
China,CHN,2016,1387790000
China,CHN,2015,1379860000
China,CHN,2014,1371860000
China,CHN,2013,1363240000
China,CHN,2012,1354190000
China,CHN,2011,1345035000
China,CHN,2010,1337705000
China,CHN,2009,1331260000
China,CHN,2008,1324655000
China,CHN,2007,1317885000
China,CHN,2006,1311020000
China,CHN,2005,1303720000
China,CHN,2004,1296075000
China,CHN,2003,1288400000
China,CHN,2002,1280400000
China,CHN,2001,1271850000
China,CHN,2000,1262645000
China,CHN,1999,1252735000
China,CHN,1998,1241935000
China,CHN,1997,1230075000
China,CHN,1996,1217550000
China,CHN,1995,1204855000
China,CHN,1994,1191835000
China,CHN,1993,1178440000
China,CHN,1992,1164970000
China,CHN,1991,1150780000
China,CHN,1990,1135185000
China,CHN,1989,1118650000
China,CHN,1988,1101630000
China,CHN,1987,1084035000
China,CHN,1986,1066790000
China,CHN,1985,1051040000
China,CHN,1984,1036825000
China,CHN,1983,1023310000
China,CHN,1982,1008630000
China,CHN,1981,993885000
China,CHN,1980,981235000
China,CHN,1979,969005000
China,CHN,1978,956165000
China,CHN,1977,943455000
China,CHN,1976,930685000
China,CHN,1975,916395000
China,CHN,1974,900350000
China,CHN,1973,881940000
China,CHN,1972,862030000
China,CHN,1971,841105000
China,CHN,1970,818315000
China,CHN,1969,796025000
China,CHN,1968,774510000
China,CHN,1967,754550000
China,CHN,1966,735400000
China,CHN,1965,715185000
China,CHN,1964,698355000
China,CHN,1963,682335000
China,CHN,1962,665770000
China,CHN,1961,660330000
China,CHN,1960,667070000
