country,country_code,year,value
China,CHN,2025,4.615
China,CHN,2024,4.59
China,CHN,2023,4.67
China,CHN,2022,4.98
China,CHN,2021,4.55
China,CHN,2020,5.0
China,CHN,2019,4.56
China,CHN,2018,4.31
China,CHN,2017,4.47
China,CHN,2016,4.56
China,CHN,2015,4.65
China,CHN,2014,4.63
China,CHN,2013,4.6
China,CHN,2012,4.58
China,CHN,2011,4.55
China,CHN,2010,4.53
China,CHN,2009,4.72
China,CHN,2008,4.59
China,CHN,2007,4.35
China,CHN,2006,4.43
China,CHN,2005,4.52
China,CHN,2004,4.49
China,CHN,2003,4.58
China,CHN,2002,4.24
China,CHN,2001,3.8
China,CHN,2000,3.26
China,CHN,1999,3.25
China,CHN,1998,3.24
China,CHN,1997,3.23
China,CHN,1996,3.12
China,CHN,1995,3.0
China,CHN,1994,2.9
China,CHN,1993,2.69
China,CHN,1992,2.37
China,CHN,1991,2.37
China,CHN,1990,
China,CHN,1989,
China,CHN,1988,
China,CHN,1987,
China,CHN,1986,
China,CHN,1985,
China,CHN,1984,
China,CHN,1983,
China,CHN,1982,
China,CHN,1981,
China,CHN,1980,
China,CHN,1979,
China,CHN,1978,
China,CHN,1977,
China,CHN,1976,
China,CHN,1975,
China,CHN,1974,
China,CHN,1973,
China,CHN,1972,
China,CHN,1971,
China,CHN,1970,
China,CHN,1969,
China,CHN,1968,
China,CHN,1967,
China,CHN,1966,
China,CHN,1965,
China,CHN,1964,
China,CHN,1963,
China,CHN,1962,
China,CHN,1961,
China,CHN,1960,
