country,country_code,year,value
Germany,DEU,2025,
Germany,DEU,2024,100.0
Germany,DEU,2023,100.0
Germany,DEU,2022,100.0
Germany,DEU,2021,100.0
Germany,DEU,2020,100.0
Germany,DEU,2019,100.0
Germany,DEU,2018,100.0
Germany,DEU,2017,100.0
Germany,DEU,2016,100.0
Germany,DEU,2015,100.0
Germany,DEU,2014,100.0
Germany,DEU,2013,100.0
Germany,DEU,2012,100.0
Germany,DEU,2011,100.0
Germany,DEU,2010,100.0
Germany,DEU,2009,100.0
Germany,DEU,2008,100.0
Germany,DEU,2007,100.0
Germany,DEU,2006,100.0
Germany,DEU,2005,100.0
Germany,DEU,2004,100.0
Germany,DEU,2003,100.0
Germany,DEU,2002,100.0
Germany,DEU,2001,100.0
Germany,DEU,2000,100.0
Germany,DEU,1999,100.0
Germany,DEU,1998,100.0
Germany,DEU,1997,100.0
Germany,DEU,1996,100.0
Germany,DEU,1995,100.0
Germany,DEU,1994,100.0
Germany,DEU,1993,100.0
Germany,DEU,1992,100.0
Germany,DEU,1991,100.0
Germany,DEU,1990,100.0
Germany,DEU,1989,
Germany,DEU,1988,
Germany,DEU,1987,
Germany,DEU,1986,
Germany,DEU,1985,
Germany,DEU,1984,
Germany,DEU,1983,
Germany,DEU,1982,
Germany,DEU,1981,
Germany,DEU,1980,
Germany,DEU,1979,
Germany,DEU,1978,
Germany,DEU,1977,
Germany,DEU,1976,
Germany,DEU,1975,
Germany,DEU,1974,
Germany,DEU,1973,
Germany,DEU,1972,
Germany,DEU,1971,
Germany,DEU,1970,
Germany,DEU,1969,
Germany,DEU,1968,
Germany,DEU,1967,
Germany,DEU,1966,
Germany,DEU,1965,
Germany,DEU,1964,
Germany,DEU,1963,
Germany,DEU,1962,
Germany,DEU,1961,
Germany,DEU,1960,
