country,country_code,year,value
Germany,DEU,2025,5050922925047.05
Germany,DEU,2024,4685592577804.69
Germany,DEU,2023,4562207532490.28
Germany,DEU,2022,4201021706478.62
Germany,DEU,2021,4355251953410.78
Germany,DEU,2020,3941398957073.94
Germany,DEU,2019,3959894794039.21
Germany,DEU,2018,4055433215301.96
Germany,DEU,2017,3765351626105.89
Germany,DEU,2016,3536787895179.0
Germany,DEU,2015,3425099578746.09
Germany,DEU,2014,3964870735760.77
Germany,DEU,2013,3807023797050.99
Germany,DEU,2012,3596483233406.25
Germany,DEU,2011,3823575803793.78
Germany,DEU,2010,3467093769666.67
Germany,DEU,2009,3478545516683.59
Germany,DEU,2008,3808197720125.0
Germany,DEU,2007,3484056680854.91
Germany,DEU,2006,3046308753670.58
Germany,DEU,2005,2893393187361.87
Germany,DEU,2004,2852317768061.78
Germany,DEU,2003,2534715518349.01
Germany,DEU,2002,2102350798305.89
Germany,DEU,2001,1966381496641.73
Germany,DEU,2000,1966980701145.1
Germany,DEU,1999,2213873468586.88
Germany,DEU,1998,2247760364565.97
Germany,DEU,1997,2218790886532.82
Germany,DEU,1996,2506576553158.31
Germany,DEU,1995,2593053091306.13
Germany,DEU,1994,2215282632276.73
Germany,DEU,1993,2078954217437.6
Germany,DEU,1992,2141377582968.07
Germany,DEU,1991,1875792575132.59
Germany,DEU,1990,1778162195860.07
Germany,DEU,1989,1404092925205.45
Germany,DEU,1988,1406367016371.53
Germany,DEU,1987,1302932318824.81
Germany,DEU,1986,1050092624515.9
Germany,DEU,1985,735218723093.277
Germany,DEU,1984,727767760978.627
Germany,DEU,1983,773507930294.906
Germany,DEU,1982,779421633755.138
Germany,DEU,1981,803404797057.551
Germany,DEU,1980,953772499462.019
Germany,DEU,1979,884574218333.155
Germany,DEU,1978,743182891918.208
Germany,DEU,1977,602698323085.993
Germany,DEU,1976,521658712132.981
Germany,DEU,1975,492434094920.105
Germany,DEU,1974,446934971657.471
Germany,DEU,1973,399833571167.215
Germany,DEU,1972,300899944795.436
Germany,DEU,1971,250900942396.699
Germany,DEU,1970,216629229947.096
Germany,DEU,1969,177733486326.06
Germany,DEU,1968,156527292653.157
Germany,DEU,1967,145100667772.69
Germany,DEU,1966,143304275683.979
Germany,DEU,1965,134774688191.161
Germany,DEU,1964,123330404665.086
Germany,DEU,1963,112232503744.1
Germany,DEU,1962,105895435234.343
Germany,DEU,1961,96558204043.1028
Germany,DEU,1960,84619845881.2608
