country,country_code,year,value
Germany,DEU,2025,
Germany,DEU,2024,80.7926829268293
Germany,DEU,2023,81.0414634146342
Germany,DEU,2022,80.6080487804878
Germany,DEU,2021,80.790243902439
Germany,DEU,2020,81.0414634146342
Germany,DEU,2019,81.2926829268293
Germany,DEU,2018,80.8926829268293
Germany,DEU,2017,80.9926829268293
Germany,DEU,2016,80.990243902439
Germany,DEU,2015,80.6414634146341
Germany,DEU,2014,81.090243902439
Germany,DEU,2013,80.490243902439
Germany,DEU,2012,80.5390243902439
Germany,DEU,2011,80.4365853658537
Germany,DEU,2010,79.9878048780488
Germany,DEU,2009,79.8365853658537
Germany,DEU,2008,79.7365853658537
Germany,DEU,2007,79.5341463414634
Germany,DEU,2006,79.1317073170732
Germany,DEU,2005,78.9317073170732
Germany,DEU,2004,78.6804878048781
Germany,DEU,2003,78.3804878048781
Germany,DEU,2002,78.2292682926829
Germany,DEU,2001,78.3292682926829
Germany,DEU,2000,77.9268292682927
Germany,DEU,1999,77.7268292682927
Germany,DEU,1998,77.4756097560976
Germany,DEU,1997,77.0731707317073
Germany,DEU,1996,76.6731707317073
Germany,DEU,1995,76.4219512195122
Germany,DEU,1994,76.2707317073171
Germany,DEU,1993,75.8707317073171
Germany,DEU,1992,75.819512195122
Germany,DEU,1991,75.319512195122
Germany,DEU,1990,75.0856341463415
Germany,DEU,1989,75.1915365853659
Germany,DEU,1988,74.9987317073171
Germany,DEU,1987,74.8070243902439
Germany,DEU,1986,74.3968292682927
Germany,DEU,1985,74.1890975609756
Germany,DEU,1984,74.0722926829268
Germany,DEU,1983,73.6221463414634
Germany,DEU,1982,73.3331463414634
Germany,DEU,1981,73.0402195121951
Germany,DEU,1980,72.8003170731707
Germany,DEU,1979,72.6301707317073
Germany,DEU,1978,72.2904146341464
Germany,DEU,1977,72.3073170731707
Germany,DEU,1976,71.7122195121951
Germany,DEU,1975,71.259243902439
Germany,DEU,1974,71.4189268292683
Germany,DEU,1973,71.1128048780488
Germany,DEU,1972,70.9067073170732
Germany,DEU,1971,70.676756097561
Germany,DEU,1970,70.4471951219512
Germany,DEU,1969,70.2288048780488
Germany,DEU,1968,70.3784634146342
Germany,DEU,1967,70.7317317073171
Germany,DEU,1966,70.5215853658537
Germany,DEU,1965,70.4103658536585
Germany,DEU,1964,70.4355609756098
Germany,DEU,1963,69.9140731707317
Germany,DEU,1962,69.7992195121951
Germany,DEU,1961,69.6448780487805
Germany,DEU,1960,69.0640731707317
