country,country_code,year,value
Germany,DEU,2025,83491249
Germany,DEU,2024,83516593
Germany,DEU,2023,83287273
Germany,DEU,2022,83177813
Germany,DEU,2021,83196078
Germany,DEU,2020,83160871
Germany,DEU,2019,83092962
Germany,DEU,2018,82905782
Germany,DEU,2017,82657002
Germany,DEU,2016,82348669
Germany,DEU,2015,81686611
Germany,DEU,2014,80982500
Germany,DEU,2013,80645605
Germany,DEU,2012,80425823
Germany,DEU,2011,80274983
Germany,DEU,2010,81776930
Germany,DEU,2009,81902307
Germany,DEU,2008,82110097
Germany,DEU,2007,82266372
Germany,DEU,2006,82376451
Germany,DEU,2005,82469422
Germany,DEU,2004,82516260
Germany,DEU,2003,82534176
Germany,DEU,2002,82488495
Germany,DEU,2001,82349925
Germany,DEU,2000,82211508
Germany,DEU,1999,82100243
Germany,DEU,1998,82047195
Germany,DEU,1997,82034771
Germany,DEU,1996,81914831
Germany,DEU,1995,81678051
Germany,DEU,1994,81438348
Germany,DEU,1993,81156363
Germany,DEU,1992,80624598
Germany,DEU,1991,80013896
Germany,DEU,1990,79433029
Germany,DEU,1989,78751283
Germany,DEU,1988,78144619
Germany,DEU,1987,77839920
Germany,DEU,1986,77720436
Germany,DEU,1985,77684873
Germany,DEU,1984,77858685
Germany,DEU,1983,78128282
Germany,DEU,1982,78333366
Germany,DEU,1981,78407907
Germany,DEU,1980,78288576
Germany,DEU,1979,78126350
Germany,DEU,1978,78091820
Germany,DEU,1977,78159814
Germany,DEU,1976,78336950
Germany,DEU,1975,78673554
Germany,DEU,1974,78967433
Germany,DEU,1973,78936666
Germany,DEU,1972,78688452
Germany,DEU,1971,78312842
Germany,DEU,1970,78169289
Germany,DEU,1969,77909682
Germany,DEU,1968,77294314
Germany,DEU,1967,76951336
Germany,DEU,1966,76600311
Germany,DEU,1965,75963695
Germany,DEU,1964,75318337
Germany,DEU,1963,74714353
Germany,DEU,1962,74025784
Germany,DEU,1961,73377632
Germany,DEU,1960,72814900
