country,country_code,year,value
Germany,DEU,2025,
Germany,DEU,2024,100.243698120117
Germany,DEU,2023,100.603057861328
Germany,DEU,2022,100.81729888916
Germany,DEU,2021,101.203536987305
Germany,DEU,2020,101.307800292969
Germany,DEU,2019,101.152557373047
Germany,DEU,2018,100.837303161621
Germany,DEU,2017,101.095642089844
Germany,DEU,2016,100.852310180664
Germany,DEU,2015,102.192413330078
Germany,DEU,2014,103.303871154785
Germany,DEU,2013,103.935333251953
Germany,DEU,2012,104.442237854004
Germany,DEU,2011,105.34651184082
Germany,DEU,2010,104.891357421875
Germany,DEU,2009,103.314292907715
Germany,DEU,2008,103.240730285645
Germany,DEU,2007,102.009773254395
Germany,DEU,2006,102.486396789551
Germany,DEU,2005,101.436492919922
Germany,DEU,2004,101.377777099609
Germany,DEU,2003,101.226783752441
Germany,DEU,2002,100.853607177734
Germany,DEU,2001,99.554801940918
Germany,DEU,2000,
Germany,DEU,1999,
Germany,DEU,1998,
Germany,DEU,1997,
Germany,DEU,1996,
Germany,DEU,1995,
Germany,DEU,1994,
Germany,DEU,1993,
Germany,DEU,1992,
Germany,DEU,1991,
Germany,DEU,1990,
Germany,DEU,1989,
Germany,DEU,1988,
Germany,DEU,1987,
Germany,DEU,1986,
Germany,DEU,1985,
Germany,DEU,1984,
Germany,DEU,1983,
Germany,DEU,1982,
Germany,DEU,1981,
Germany,DEU,1980,
Germany,DEU,1979,
Germany,DEU,1978,
Germany,DEU,1977,
Germany,DEU,1976,
Germany,DEU,1975,
Germany,DEU,1974,
Germany,DEU,1973,
Germany,DEU,1972,
Germany,DEU,1971,
Germany,DEU,1970,
Germany,DEU,1969,
Germany,DEU,1968,
Germany,DEU,1967,
Germany,DEU,1966,
Germany,DEU,1965,
Germany,DEU,1964,
Germany,DEU,1963,
Germany,DEU,1962,
Germany,DEU,1961,
Germany,DEU,1960,
