country,country_code,year,value
Germany,DEU,2025,3.711
Germany,DEU,2024,3.4
Germany,DEU,2023,3.071
Germany,DEU,2022,3.137
Germany,DEU,2021,3.594
Germany,DEU,2020,3.881
Germany,DEU,2019,3.163
Germany,DEU,2018,3.384
Germany,DEU,2017,3.781
Germany,DEU,2016,4.104
Germany,DEU,2015,4.612
Germany,DEU,2014,4.979
Germany,DEU,2013,5.316
Germany,DEU,2012,5.372
Germany,DEU,2011,5.967
Germany,DEU,2010,7.043
Germany,DEU,2009,7.88
Germany,DEU,2008,7.508
Germany,DEU,2007,8.732
Germany,DEU,2006,10.277
Germany,DEU,2005,11.193
Germany,DEU,2004,10.727
Germany,DEU,2003,9.779
Germany,DEU,2002,8.482
Germany,DEU,2001,7.773
Germany,DEU,2000,7.917
Germany,DEU,1999,8.854
Germany,DEU,1998,9.787
Germany,DEU,1997,9.861
Germany,DEU,1996,8.822
Germany,DEU,1995,8.158
Germany,DEU,1994,8.727
Germany,DEU,1993,7.675
Germany,DEU,1992,6.323
Germany,DEU,1991,5.316
Germany,DEU,1990,
Germany,DEU,1989,
Germany,DEU,1988,
Germany,DEU,1987,
Germany,DEU,1986,
Germany,DEU,1985,
Germany,DEU,1984,
Germany,DEU,1983,
Germany,DEU,1982,
Germany,DEU,1981,
Germany,DEU,1980,
Germany,DEU,1979,
Germany,DEU,1978,
Germany,DEU,1977,
Germany,DEU,1976,
Germany,DEU,1975,
Germany,DEU,1974,
Germany,DEU,1973,
Germany,DEU,1972,
Germany,DEU,1971,
Germany,DEU,1970,
Germany,DEU,1969,
Germany,DEU,1968,
Germany,DEU,1967,
Germany,DEU,1966,
Germany,DEU,1965,
Germany,DEU,1964,
Germany,DEU,1963,
Germany,DEU,1962,
Germany,DEU,1961,
Germany,DEU,1960,
