country,country_code,development_group,indicator,year,value
Afghanistan,AFG,Least Developed,gdp,2025,
Afghanistan,AFG,Least Developed,gdp,2024,17778508875.7396
Afghanistan,AFG,Least Developed,gdp,2023,17152234636.8715
Afghanistan,AFG,Least Developed,gdp,2022,14497243872.1337
Afghanistan,AFG,Least Developed,gdp,2021,14259995441.0759
Afghanistan,AFG,Least Developed,gdp,2020,19955929052.1496
Afghanistan,AFG,Least Developed,gdp,2019,18799444490.1128
Afghanistan,AFG,Least Developed,gdp,2018,18053222687.4126
Afghanistan,AFG,Least Developed,gdp,2017,18753456497.8159
Afghanistan,AFG,Least Developed,gdp,2016,18116572395.0772
Afghanistan,AFG,Least Developed,gdp,2015,19134221644.7325
Afghanistan,AFG,Least Developed,gdp,2014,20497128555.6972
Afghanistan,AFG,Least Developed,gdp,2013,20146416757.5987
Afghanistan,AFG,Least Developed,gdp,2012,19907329777.5872
Afghanistan,AFG,Least Developed,gdp,2011,17805098206.3141
Afghanistan,AFG,Least Developed,gdp,2010,15856668555.8336
Afghanistan,AFG,Least Developed,gdp,2009,12416152732.0567
Afghanistan,AFG,Least Developed,gdp,2008,10109297047.5432
Afghanistan,AFG,Least Developed,gdp,2007,9747886187.39393
Afghanistan,AFG,Least Developed,gdp,2006,6971758282.29351
Afghanistan,AFG,Least Developed,gdp,2005,6203256538.70967
Afghanistan,AFG,Least Developed,gdp,2004,5224896718.67782
Afghanistan,AFG,Least Developed,gdp,2003,4520946818.54581
Afghanistan,AFG,Least Developed,gdp,2002,3825701438.99963
Afghanistan,AFG,Least Developed,gdp,2001,2813571753.87253
Afghanistan,AFG,Least Developed,gdp,2000,3521418059.92345
Afghanistan,AFG,Least Developed,gdp,1999,
Afghanistan,AFG,Least Developed,gdp,1998,
Afghanistan,AFG,Least Developed,gdp,1997,
Afghanistan,AFG,Least Developed,gdp,1996,
Afghanistan,AFG,Least Developed,gdp,1995,
Afghanistan,AFG,Least Developed,gdp,1994,
Afghanistan,AFG,Least Developed,gdp,1993,
Afghanistan,AFG,Least Developed,gdp,1992,
Afghanistan,AFG,Least Developed,gdp,1991,
Afghanistan,AFG,Least Developed,gdp,1990,
Afghanistan,AFG,Least Developed,gdp,1989,
Afghanistan,AFG,Least Developed,gdp,1988,
Afghanistan,AFG,Least Developed,gdp,1987,
Afghanistan,AFG,Least Developed,gdp,1986,
Afghanistan,AFG,Least Developed,gdp,1985,
Afghanistan,AFG,Least Developed,gdp,1984,
Afghanistan,AFG,Least Developed,gdp,1983,
Afghanistan,AFG,Least Developed,gdp,1982,
Afghanistan,AFG,Least Developed,gdp,1981,
Afghanistan,AFG,Least Developed,gdp,1980,
Afghanistan,AFG,Least Developed,gdp,1979,
Afghanistan,AFG,Least Developed,gdp,1978,
Afghanistan,AFG,Least Developed,gdp,1977,
Afghanistan,AFG,Least Developed,gdp,1976,
Afghanistan,AFG,Least Developed,gdp,1975,
Afghanistan,AFG,Least Developed,gdp,1974,
Afghanistan,AFG,Least Developed,gdp,1973,
Afghanistan,AFG,Least Developed,gdp,1972,
Afghanistan,AFG,Least Developed,gdp,1971,
Afghanistan,AFG,Least Developed,gdp,1970,
Afghanistan,AFG,Least Developed,gdp,1969,
Afghanistan,AFG,Least Developed,gdp,1968,
Afghanistan,AFG,Least Developed,gdp,1967,
Afghanistan,AFG,Least Developed,gdp,1966,
Afghanistan,AFG,Least Developed,gdp,1965,
Afghanistan,AFG,Least Developed,gdp,1964,
Afghanistan,AFG,Least Developed,gdp,1963,
Afghanistan,AFG,Least Developed,gdp,1962,
Afghanistan,AFG,Least Developed,gdp,1961,
Afghanistan,AFG,Least Developed,gdp,1960,
Afghanistan,AFG,Least Developed,gdp_per_capita,2025,
Afghanistan,AFG,Least Developed,gdp_per_capita,2024,416.871146273728
Afghanistan,AFG,Least Developed,gdp_per_capita,2023,413.757894705303
Afghanistan,AFG,Least Developed,gdp_per_capita,2022,357.261152798144
Afghanistan,AFG,Least Developed,gdp_per_capita,2021,356.496214115892
Afghanistan,AFG,Least Developed,gdp_per_capita,2020,510.787063366811
Afghanistan,AFG,Least Developed,gdp_per_capita,2019,496.6025042585
Afghanistan,AFG,Least Developed,gdp_per_capita,2018,491.337221382603
Afghanistan,AFG,Least Developed,gdp_per_capita,2017,525.469770891619
Afghanistan,AFG,Least Developed,gdp_per_capita,2016,522.082215583898
Afghanistan,AFG,Least Developed,gdp_per_capita,2015,565.569730408751
Afghanistan,AFG,Least Developed,gdp_per_capita,2014,625.054941813938
Afghanistan,AFG,Least Developed,gdp_per_capita,2013,637.087099117099
Afghanistan,AFG,Least Developed,gdp_per_capita,2012,651.417134470046
Afghanistan,AFG,Least Developed,gdp_per_capita,2011,606.694676337726
Afghanistan,AFG,Least Developed,gdp_per_capita,2010,560.621505463146
Afghanistan,AFG,Least Developed,gdp_per_capita,2009,452.053705477043
Afghanistan,AFG,Least Developed,gdp_per_capita,2008,381.73323802844
Afghanistan,AFG,Least Developed,gdp_per_capita,2007,376.223152003876
Afghanistan,AFG,Least Developed,gdp_per_capita,2006,274.218553561575
Afghanistan,AFG,Least Developed,gdp_per_capita,2005,254.184249149336
Afghanistan,AFG,Least Developed,gdp_per_capita,2004,221.763653873013
Afghanistan,AFG,Least Developed,gdp_per_capita,2003,198.871115728727
Afghanistan,AFG,Least Developed,gdp_per_capita,2002,178.954088379235
Afghanistan,AFG,Least Developed,gdp_per_capita,2001,138.706821676113
Afghanistan,AFG,Least Developed,gdp_per_capita,2000,174.930991430166
Afghanistan,AFG,Least Developed,gdp_per_capita,1999,
Afghanistan,AFG,Least Developed,gdp_per_capita,1998,
Afghanistan,AFG,Least Developed,gdp_per_capita,1997,
Afghanistan,AFG,Least Developed,gdp_per_capita,1996,
Afghanistan,AFG,Least Developed,gdp_per_capita,1995,
Afghanistan,AFG,Least Developed,gdp_per_capita,1994,
Afghanistan,AFG,Least Developed,gdp_per_capita,1993,
Afghanistan,AFG,Least Developed,gdp_per_capita,1992,
Afghanistan,AFG,Least Developed,gdp_per_capita,1991,
Afghanistan,AFG,Least Developed,gdp_per_capita,1990,
Afghanistan,AFG,Least Developed,gdp_per_capita,1989,
Afghanistan,AFG,Least Developed,gdp_per_capita,1988,
Afghanistan,AFG,Least Developed,gdp_per_capita,1987,
Afghanistan,AFG,Least Developed,gdp_per_capita,1986,
Afghanistan,AFG,Least Developed,gdp_per_capita,1985,
Afghanistan,AFG,Least Developed,gdp_per_capita,1984,
Afghanistan,AFG,Least Developed,gdp_per_capita,1983,
Afghanistan,AFG,Least Developed,gdp_per_capita,1982,
Afghanistan,AFG,Least Developed,gdp_per_capita,1981,
Afghanistan,AFG,Least Developed,gdp_per_capita,1980,
Afghanistan,AFG,Least Developed,gdp_per_capita,1979,
Afghanistan,AFG,Least Developed,gdp_per_capita,1978,
Afghanistan,AFG,Least Developed,gdp_per_capita,1977,
Afghanistan,AFG,Least Developed,gdp_per_capita,1976,
Afghanistan,AFG,Least Developed,gdp_per_capita,1975,
Afghanistan,AFG,Least Developed,gdp_per_capita,1974,
Afghanistan,AFG,Least Developed,gdp_per_capita,1973,
Afghanistan,AFG,Least Developed,gdp_per_capita,1972,
Afghanistan,AFG,Least Developed,gdp_per_capita,1971,
Afghanistan,AFG,Least Developed,gdp_per_capita,1970,
Afghanistan,AFG,Least Developed,gdp_per_capita,1969,
Afghanistan,AFG,Least Developed,gdp_per_capita,1968,
Afghanistan,AFG,Least Developed,gdp_per_capita,1967,
Afghanistan,AFG,Least Developed,gdp_per_capita,1966,
Afghanistan,AFG,Least Developed,gdp_per_capita,1965,
Afghanistan,AFG,Least Developed,gdp_per_capita,1964,
Afghanistan,AFG,Least Developed,gdp_per_capita,1963,
Afghanistan,AFG,Least Developed,gdp_per_capita,1962,
Afghanistan,AFG,Least Developed,gdp_per_capita,1961,
Afghanistan,AFG,Least Developed,gdp_per_capita,1960,
Afghanistan,AFG,Least Developed,population,2025,43844111.0
Afghanistan,AFG,Least Developed,population,2024,42647492.0
Afghanistan,AFG,Least Developed,population,2023,41454761.0
Afghanistan,AFG,Least Developed,population,2022,40578842.0
Afghanistan,AFG,Least Developed,population,2021,40000412.0
Afghanistan,AFG,Least Developed,population,2020,39068979.0
Afghanistan,AFG,Least Developed,population,2019,37856121.0
Afghanistan,AFG,Least Developed,population,2018,36743039.0
Afghanistan,AFG,Least Developed,population,2017,35688935.0
Afghanistan,AFG,Least Developed,population,2016,34700612.0
Afghanistan,AFG,Least Developed,population,2015,33831764.0
Afghanistan,AFG,Least Developed,population,2014,32792523.0
Afghanistan,AFG,Least Developed,population,2013,31622704.0
Afghanistan,AFG,Least Developed,population,2012,30560034.0
Afghanistan,AFG,Least Developed,population,2011,29347708.0
Afghanistan,AFG,Least Developed,population,2010,28284089.0
Afghanistan,AFG,Least Developed,population,2009,27466101.0
Afghanistan,AFG,Least Developed,population,2008,26482622.0
Afghanistan,AFG,Least Developed,population,2007,25909852.0
Afghanistan,AFG,Least Developed,population,2006,25424094.0
Afghanistan,AFG,Least Developed,population,2005,24404567.0
Afghanistan,AFG,Least Developed,population,2004,23560654.0
Afghanistan,AFG,Least Developed,population,2003,22733049.0
Afghanistan,AFG,Least Developed,population,2002,21378117.0
Afghanistan,AFG,Least Developed,population,2001,20284307.0
Afghanistan,AFG,Least Developed,population,2000,20130327.0
Afghanistan,AFG,Least Developed,population,1999,19887785.0
Afghanistan,AFG,Least Developed,population,1998,19159996.0
Afghanistan,AFG,Least Developed,population,1997,18452091.0
Afghanistan,AFG,Least Developed,population,1996,17763266.0
Afghanistan,AFG,Least Developed,population,1995,17065836.0
Afghanistan,AFG,Least Developed,population,1994,16250794.0
Afghanistan,AFG,Least Developed,population,1993,14943172.0
Afghanistan,AFG,Least Developed,population,1992,13278974.0
Afghanistan,AFG,Least Developed,population,1991,12238879.0
Afghanistan,AFG,Least Developed,population,1990,12045660.0
Afghanistan,AFG,Least Developed,population,1989,11874088.0
Afghanistan,AFG,Least Developed,population,1988,11523298.0
Afghanistan,AFG,Least Developed,population,1987,11387818.0
Afghanistan,AFG,Least Developed,population,1986,11420074.0
Afghanistan,AFG,Least Developed,population,1985,11426852.0
Afghanistan,AFG,Least Developed,population,1984,11190221.0
Afghanistan,AFG,Least Developed,population,1983,10917982.0
Afghanistan,AFG,Least Developed,population,1982,10991378.0
Afghanistan,AFG,Least Developed,population,1981,11937581.0
Afghanistan,AFG,Least Developed,population,1980,13169311.0
Afghanistan,AFG,Least Developed,population,1979,13655567.0
Afghanistan,AFG,Least Developed,population,1978,13611441.0
Afghanistan,AFG,Least Developed,population,1977,13340756.0
Afghanistan,AFG,Least Developed,population,1976,13059851.0
Afghanistan,AFG,Least Developed,population,1975,12773954.0
Afghanistan,AFG,Least Developed,population,1974,12469127.0
Afghanistan,AFG,Least Developed,population,1973,12157999.0
Afghanistan,AFG,Least Developed,population,1972,11853696.0
Afghanistan,AFG,Least Developed,population,1971,11567667.0
Afghanistan,AFG,Least Developed,population,1970,11290128.0
Afghanistan,AFG,Least Developed,population,1969,11017409.0
Afghanistan,AFG,Least Developed,population,1968,10756922.0
Afghanistan,AFG,Least Developed,population,1967,10505959.0
Afghanistan,AFG,Least Developed,population,1966,10266395.0
Afghanistan,AFG,Least Developed,population,1965,10036008.0
Afghanistan,AFG,Least Developed,population,1964,9814318.0
Afghanistan,AFG,Least Developed,population,1963,9604487.0
Afghanistan,AFG,Least Developed,population,1962,9404406.0
Afghanistan,AFG,Least Developed,population,1961,9214083.0
Afghanistan,AFG,Least Developed,population,1960,9035043.0
Afghanistan,AFG,Least Developed,unemployment,2025,13.351
Afghanistan,AFG,Least Developed,unemployment,2024,13.687
Afghanistan,AFG,Least Developed,unemployment,2023,14.008
Afghanistan,AFG,Least Developed,unemployment,2022,14.1
Afghanistan,AFG,Least Developed,unemployment,2021,12.006
Afghanistan,AFG,Least Developed,unemployment,2020,11.71
Afghanistan,AFG,Least Developed,unemployment,2019,11.187
Afghanistan,AFG,Least Developed,unemployment,2018,11.192
Afghanistan,AFG,Least Developed,unemployment,2017,11.184
Afghanistan,AFG,Least Developed,unemployment,2016,10.116
Afghanistan,AFG,Least Developed,unemployment,2015,9.032
Afghanistan,AFG,Least Developed,unemployment,2014,7.915
Afghanistan,AFG,Least Developed,unemployment,2013,7.921
Afghanistan,AFG,Least Developed,unemployment,2012,7.875
Afghanistan,AFG,Least Developed,unemployment,2011,7.83
Afghanistan,AFG,Least Developed,unemployment,2010,7.809
Afghanistan,AFG,Least Developed,unemployment,2009,7.808
Afghanistan,AFG,Least Developed,unemployment,2008,7.879
Afghanistan,AFG,Least Developed,unemployment,2007,7.841
Afghanistan,AFG,Least Developed,unemployment,2006,7.897
Afghanistan,AFG,Least Developed,unemployment,2005,7.878
Afghanistan,AFG,Least Developed,unemployment,2004,7.794
Afghanistan,AFG,Least Developed,unemployment,2003,7.844
Afghanistan,AFG,Least Developed,unemployment,2002,7.867
Afghanistan,AFG,Least Developed,unemployment,2001,7.973
Afghanistan,AFG,Least Developed,unemployment,2000,7.897
Afghanistan,AFG,Least Developed,unemployment,1999,7.877
Afghanistan,AFG,Least Developed,unemployment,1998,7.869
Afghanistan,AFG,Least Developed,unemployment,1997,7.863
Afghanistan,AFG,Least Developed,unemployment,1996,7.878
Afghanistan,AFG,Least Developed,unemployment,1995,7.868
