country,country_code,development_group,indicator,year,value,previous_value,growth_rate
Afghanistan,AFG,Least Developed,gdp,1960,,,
Afghanistan,AFG,Least Developed,gdp,1961,,,
Afghanistan,AFG,Least Developed,gdp,1962,,,
Afghanistan,AFG,Least Developed,gdp,1963,,,
Afghanistan,AFG,Least Developed,gdp,1964,,,
Afghanistan,AFG,Least Developed,gdp,1965,,,
Afghanistan,AFG,Least Developed,gdp,1966,,,
Afghanistan,AFG,Least Developed,gdp,1967,,,
Afghanistan,AFG,Least Developed,gdp,1968,,,
Afghanistan,AFG,Least Developed,gdp,1969,,,
Afghanistan,AFG,Least Developed,gdp,1970,,,
Afghanistan,AFG,Least Developed,gdp,1971,,,
Afghanistan,AFG,Least Developed,gdp,1972,,,
Afghanistan,AFG,Least Developed,gdp,1973,,,
Afghanistan,AFG,Least Developed,gdp,1974,,,
Afghanistan,AFG,Least Developed,gdp,1975,,,
Afghanistan,AFG,Least Developed,gdp,1976,,,
Afghanistan,AFG,Least Developed,gdp,1977,,,
Afghanistan,AFG,Least Developed,gdp,1978,,,
Afghanistan,AFG,Least Developed,gdp,1979,,,
Afghanistan,AFG,Least Developed,gdp,1980,,,
Afghanistan,AFG,Least Developed,gdp,1981,,,
Afghanistan,AFG,Least Developed,gdp,1982,,,
Afghanistan,AFG,Least Developed,gdp,1983,,,
Afghanistan,AFG,Least Developed,gdp,1984,,,
Afghanistan,AFG,Least Developed,gdp,1985,,,
Afghanistan,AFG,Least Developed,gdp,1986,,,
Afghanistan,AFG,Least Developed,gdp,1987,,,
Afghanistan,AFG,Least Developed,gdp,1988,,,
Afghanistan,AFG,Least Developed,gdp,1989,,,
Afghanistan,AFG,Least Developed,gdp,1990,,,
Afghanistan,AFG,Least Developed,gdp,1991,,,
Afghanistan,AFG,Least Developed,gdp,1992,,,
Afghanistan,AFG,Least Developed,gdp,1993,,,
Afghanistan,AFG,Least Developed,gdp,1994,,,
Afghanistan,AFG,Least Developed,gdp,1995,,,
