country,country_code,development_group,electricity_access,gdp,gdp_per_capita,life_expectancy,population,school_enrollment,unemployment,economic_score,health_score,education_score,infrastructure_score,employment_score,social_score,development_index,development_rank
United States,USA,Developed,100.0,30769700000000.0,90026.5163005744,78.890243902439,341784857.0,97.4734878540039,4.198,100.0,82.5,68.05,100.0,83.97,75.27,89.81,1
Australia,AUS,Developed,100.0,1798518933689.21,65129.7227990563,83.0512195121951,27614411.0,131.931564331055,4.09,72.22,96.65,100.0,100.0,84.96,98.32,88.88,2
Germany,DEU,Developed,100.0,5050922925047.05,60496.4350820414,80.7926829268293,83491249.0,100.243698120117,3.711,67.05,88.97,70.62,100.0,88.44,79.79,83.82,3
Japan,JPN,Developed,100.0,4435162999976.94,35951.0449549304,84.0363414634146,123366734.0,101.537071228027,2.451,39.65,100.0,71.82,100.0,100.0,85.91,81.39,4
Canada,CAN,Developed,100.0,2319899772425.92,55697.6639660837,82.1080487804878,41651653.0,104.320877075195,6.907,61.69,93.44,74.4,100.0,59.12,83.92,76.18,5
China,CHN,Developing,100.0,19498039388042.6,13861.970224368,78.017,1406585000.0,92.2603063015232,4.615,15.0,79.53,63.21,100.0,80.15,71.37,66.63,6
Brazil,BRA,Developing,99.8,2279920092492.13,10713.2856869511,76.023,212812405.0,104.144660949707,5.97,11.49,72.74,74.23,99.76,67.72,73.49,63.11,7
India,IND,Developing,99.9,3956067115771.63,2702.47987141553,72.235,1463865525.0,79.594985086469,4.219,2.55,59.86,51.47,99.88,83.78,55.66,60.47,8
Pakistan,PAK,Developing,95.7,407307214476.222,1595.90912252837,67.799,255219554.0,48.2805022055997,5.42,1.32,44.77,22.43,94.91,72.76,33.6,50.65,9
Nepal,NPL,Least Developed,97.9,45489810283.1132,1535.87781246307,70.636,29618118.0,90.3878462155916,10.465,1.25,54.42,61.48,97.51,26.48,57.95,45.8,10
Uganda,UGA,Least Developed,55.3,61985829288.1496,1206.30450825002,68.487,51384894.0,24.0911102294922,2.746,0.88,47.11,0.0,47.04,97.29,23.56,42.19,11
Ethiopia,ETH,Least Developed,56.6,126358758448.356,932.729352775179,67.603,135472051.0,33.9114221981431,3.323,0.58,44.11,9.11,48.58,92.0,26.61,41.94,12
Nigeria,NGA,Developing,62.5,290794361542.112,1224.25410237743,54.635,237527782.0,46.8931503295898,3.064,0.9,0.0,21.14,55.57,94.38,10.57,40.35,13
Afghanistan,AFG,Least Developed,87.8,17778508875.7396,416.871146273728,66.289,43844111.0,59.6136016845703,13.351,0.0,39.64,32.94,85.55,0.0,36.29,30.46,14
Malawi,MWI,Least Developed,15.6,14918276698.303,671.506847203876,67.561,22216120.0,36.644092994481,5.072,0.28,43.96,11.64,0.0,75.95,27.8,26.01,15
