country,country_code,year,value
Ethiopia,ETH,2025,
Ethiopia,ETH,2024,56.6
Ethiopia,ETH,2023,55.4
Ethiopia,ETH,2022,55.0
Ethiopia,ETH,2021,54.2
Ethiopia,ETH,2020,51.1
Ethiopia,ETH,2019,48.0
Ethiopia,ETH,2018,44.8
Ethiopia,ETH,2017,44.3
Ethiopia,ETH,2016,42.9
Ethiopia,ETH,2015,29.0
Ethiopia,ETH,2014,27.2
Ethiopia,ETH,2013,30.8
Ethiopia,ETH,2012,29.0
Ethiopia,ETH,2011,23.0
Ethiopia,ETH,2010,25.5
Ethiopia,ETH,2009,23.7
Ethiopia,ETH,2008,22.0
Ethiopia,ETH,2007,20.3
Ethiopia,ETH,2006,18.6
Ethiopia,ETH,2005,14.0
Ethiopia,ETH,2004,15.2
Ethiopia,ETH,2003,13.5
Ethiopia,ETH,2002,11.9
Ethiopia,ETH,2001,10.2
Ethiopia,ETH,2000,12.7
Ethiopia,ETH,1999,
Ethiopia,ETH,1998,
Ethiopia,ETH,1997,
Ethiopia,ETH,1996,
Ethiopia,ETH,1995,
Ethiopia,ETH,1994,
Ethiopia,ETH,1993,
Ethiopia,ETH,1992,
Ethiopia,ETH,1991,
Ethiopia,ETH,1990,
Ethiopia,ETH,1989,
Ethiopia,ETH,1988,
Ethiopia,ETH,1987,
Ethiopia,ETH,1986,
Ethiopia,ETH,1985,
Ethiopia,ETH,1984,
Ethiopia,ETH,1983,
Ethiopia,ETH,1982,
Ethiopia,ETH,1981,
Ethiopia,ETH,1980,
Ethiopia,ETH,1979,
Ethiopia,ETH,1978,
Ethiopia,ETH,1977,
Ethiopia,ETH,1976,
Ethiopia,ETH,1975,
Ethiopia,ETH,1974,
Ethiopia,ETH,1973,
Ethiopia,ETH,1972,
Ethiopia,ETH,1971,
Ethiopia,ETH,1970,
Ethiopia,ETH,1969,
Ethiopia,ETH,1968,
Ethiopia,ETH,1967,
Ethiopia,ETH,1966,
Ethiopia,ETH,1965,
Ethiopia,ETH,1964,
Ethiopia,ETH,1963,
Ethiopia,ETH,1962,
Ethiopia,ETH,1961,
Ethiopia,ETH,1960,
