country,country_code,year,value
Ethiopia,ETH,2025,126358758448.356
Ethiopia,ETH,2024,149740297952.375
Ethiopia,ETH,2023,135874093203.18
Ethiopia,ETH,2022,123140304665.399
Ethiopia,ETH,2021,109070960370.972
Ethiopia,ETH,2020,98676811061.9985
Ethiopia,ETH,2019,91834517113.6386
Ethiopia,ETH,2018,83337901071.9697
Ethiopia,ETH,2017,76366081766.6667
Ethiopia,ETH,2016,68475871209.607
Ethiopia,ETH,2015,62103418181.8182
Ethiopia,ETH,2014,55612228233.5179
Ethiopia,ETH,2013,47648276605.0123
Ethiopia,ETH,2012,43310721414.0829
Ethiopia,ETH,2011,31952763089.33
Ethiopia,ETH,2010,29933790334.3418
Ethiopia,ETH,2009,32437389116.038
Ethiopia,ETH,2008,27066912635.2228
Ethiopia,ETH,2007,19707616772.7996
Ethiopia,ETH,2006,15280861834.6024
Ethiopia,ETH,2005,12401139453.9738
Ethiopia,ETH,2004,10131187261.4421
Ethiopia,ETH,2003,8623691300.04079
Ethiopia,ETH,2002,7850809498.16803
Ethiopia,ETH,2001,8231326016.47494
Ethiopia,ETH,2000,8242349617.8638
Ethiopia,ETH,1999,7892973531.80045
Ethiopia,ETH,1998,8013274131.69715
Ethiopia,ETH,1997,8803539988.33248
Ethiopia,ETH,1996,8761215548.48614
Ethiopia,ETH,1995,7855205206.93405
Ethiopia,ETH,1994,7100806753.92942
Ethiopia,ETH,1993,9051043870.12197
Ethiopia,ETH,1992,10754799036.5745
Ethiopia,ETH,1991,13799799323.6715
Ethiopia,ETH,1990,12478943895.1691
Ethiopia,ETH,1989,11762932007.2464
Ethiopia,ETH,1988,11181119717.8744
Ethiopia,ETH,1987,10790001557.971
Ethiopia,ETH,1986,10094328898.0676
Ethiopia,ETH,1985,9717392686.95652
Ethiopia,ETH,1984,8298309580.67633
Ethiopia,ETH,1983,8781664427.05314
Ethiopia,ETH,1982,7899988840.57971
Ethiopia,ETH,1981,7507663566.66667
Ethiopia,ETH,1980,7012585454.10628
Ethiopia,ETH,1979,6586048398.06763
Ethiopia,ETH,1978,6014961434.78261
Ethiopia,ETH,1977,5651840584.54106
Ethiopia,ETH,1976,4943806093.23672
Ethiopia,ETH,1975,4577047854.10628
Ethiopia,ETH,1974,4577209966.18358
Ethiopia,ETH,1973,4070570549.8642
Ethiopia,ETH,1972,3520252938.26087
Ethiopia,ETH,1971,3224280834.97092
Ethiopia,ETH,1970,3045354454.8
Ethiopia,ETH,1969,2768987372.0
Ethiopia,ETH,1968,2619948864.8
Ethiopia,ETH,1967,2461762002.8
Ethiopia,ETH,1966,2324466416.0
Ethiopia,ETH,1965,2159998591.2
Ethiopia,ETH,1964,1984129185.6
Ethiopia,ETH,1963,1825058827.83853
Ethiopia,ETH,1962,1747566307.0997
Ethiopia,ETH,1961,1680859514.1016
Ethiopia,ETH,1960,1610511693.84215
