country,country_code,year,value
Ethiopia,ETH,2025,135472051
Ethiopia,ETH,2024,132059767
Ethiopia,ETH,2023,128691692
Ethiopia,ETH,2022,125384287
Ethiopia,ETH,2021,122138588
Ethiopia,ETH,2020,118917671
Ethiopia,ETH,2019,115737383
Ethiopia,ETH,2018,112664152
Ethiopia,ETH,2017,109666481
Ethiopia,ETH,2016,106718162
Ethiopia,ETH,2015,103867135
Ethiopia,ETH,2014,101115610
Ethiopia,ETH,2013,98438751
Ethiopia,ETH,2012,95798767
Ethiopia,ETH,2011,93149970
Ethiopia,ETH,2010,90538514
Ethiopia,ETH,2009,88007636
Ethiopia,ETH,2008,85543668
Ethiopia,ETH,2007,83103217
Ethiopia,ETH,2006,80703490
Ethiopia,ETH,2005,78367470
Ethiopia,ETH,2004,76077206
Ethiopia,ETH,2003,73832663
Ethiopia,ETH,2002,71635517
Ethiopia,ETH,2001,69487762
Ethiopia,ETH,2000,67411494
Ethiopia,ETH,1999,65374561
Ethiopia,ETH,1998,63363524
Ethiopia,ETH,1997,61404539
Ethiopia,ETH,1996,59467635
Ethiopia,ETH,1995,57537335
Ethiopia,ETH,1994,55611508
Ethiopia,ETH,1993,53708891
Ethiopia,ETH,1992,51853747
Ethiopia,ETH,1991,49717198
Ethiopia,ETH,1990,47609755
Ethiopia,ETH,1989,45879690
Ethiopia,ETH,1988,44150825
Ethiopia,ETH,1987,42460039
Ethiopia,ETH,1986,41037656
Ethiopia,ETH,1985,39842136
Ethiopia,ETH,1984,38735722
Ethiopia,ETH,1983,37740817
Ethiopia,ETH,1982,36701290
Ethiopia,ETH,1981,35304012
Ethiopia,ETH,1980,34428514
Ethiopia,ETH,1979,34238652
Ethiopia,ETH,1978,33734592
Ethiopia,ETH,1977,33167272
Ethiopia,ETH,1976,32534418
Ethiopia,ETH,1975,31723252
Ethiopia,ETH,1974,30957273
Ethiopia,ETH,1973,30166785
Ethiopia,ETH,1972,29374608
Ethiopia,ETH,1971,28600106
Ethiopia,ETH,1970,27829128
Ethiopia,ETH,1969,27072571
Ethiopia,ETH,1968,26337930
Ethiopia,ETH,1967,25620276
Ethiopia,ETH,1966,24952689
Ethiopia,ETH,1965,24310612
Ethiopia,ETH,1964,23666548
Ethiopia,ETH,1963,23051637
Ethiopia,ETH,1962,22465126
Ethiopia,ETH,1961,21906102
Ethiopia,ETH,1960,21376693
