country,country_code,year,value
India,IND,2025,1463865525
India,IND,2024,1450935791
India,IND,2023,1438069596
India,IND,2022,1425423212
India,IND,2021,1414203896
India,IND,2020,1402617695
India,IND,2019,1389030312
India,IND,2018,1374659064
India,IND,2017,1359657400
India,IND,2016,1343944296
India,IND,2015,1328024498
India,IND,2014,1312277191
India,IND,2013,1295829511
India,IND,2012,1278674502
India,IND,2011,1261224954
India,IND,2010,1243481564
India,IND,2009,1225524753
India,IND,2008,1207930964
India,IND,2007,1190676021
India,IND,2006,1172878890
India,IND,2005,1154676322
India,IND,2004,1135991513
India,IND,2003,1116803006
India,IND,2002,1097600380
India,IND,2001,1077898575
India,IND,2000,1057922733
India,IND,1999,1038225823
India,IND,1998,1018665080
India,IND,1997,999133762
India,IND,1996,979678458
India,IND,1995,960301044
India,IND,1994,941163767
India,IND,1993,922118387
India,IND,1992,902957070
India,IND,1991,883927600
India,IND,1990,864972221
India,IND,1989,846039529
India,IND,1988,827342990
India,IND,1987,808931270
India,IND,1986,790689978
India,IND,1985,772647793
India,IND,1984,754875449
India,IND,1983,737372681
India,IND,1982,720313473
India,IND,1981,703696250
India,IND,1980,687354025
India,IND,1979,671155747
India,IND,1978,655728229
India,IND,1977,640801103
India,IND,1976,625861883
India,IND,1975,611309535
India,IND,1974,597041391
India,IND,1973,583465598
India,IND,1972,570482142
India,IND,1971,558096387
India,IND,1970,545864268
India,IND,1969,533880544
India,IND,1968,522716889
India,IND,1967,511606372
India,IND,1966,500740247
India,IND,1965,490140146
India,IND,1964,479229598
India,IND,1963,468138575
India,IND,1962,457283090
India,IND,1961,446564729
India,IND,1960,435990338
