country,country_code,year,value
India,IND,2025,4.219
India,IND,2024,4.173
India,IND,2023,4.172
India,IND,2022,4.822
India,IND,2021,6.38
India,IND,2020,7.859
India,IND,2019,6.51
India,IND,2018,7.652
India,IND,2017,7.626
India,IND,2016,7.611
India,IND,2015,7.629
India,IND,2014,7.656
India,IND,2013,7.678
India,IND,2012,7.645
India,IND,2011,7.609
India,IND,2010,7.631
India,IND,2009,7.636
India,IND,2008,7.629
India,IND,2007,7.562
India,IND,2006,7.553
India,IND,2005,7.551
India,IND,2004,7.598
India,IND,2003,7.633
India,IND,2002,7.681
India,IND,2001,7.611
India,IND,2000,7.589
India,IND,1999,7.583
India,IND,1998,7.596
India,IND,1997,7.574
India,IND,1996,7.537
India,IND,1995,7.57
India,IND,1994,7.593
India,IND,1993,7.662
India,IND,1992,7.649
India,IND,1991,7.641
India,IND,1990,
India,IND,1989,
India,IND,1988,
India,IND,1987,
India,IND,1986,
India,IND,1985,
India,IND,1984,
India,IND,1983,
India,IND,1982,
India,IND,1981,
India,IND,1980,
India,IND,1979,
India,IND,1978,
India,IND,1977,
India,IND,1976,
India,IND,1975,
India,IND,1974,
India,IND,1973,
India,IND,1972,
India,IND,1971,
India,IND,1970,
India,IND,1969,
India,IND,1968,
India,IND,1967,
India,IND,1966,
India,IND,1965,
India,IND,1964,
India,IND,1963,
India,IND,1962,
India,IND,1961,
India,IND,1960,
