country,country_code,year,value
Japan,JPN,2025,4435162999976.94
Japan,JPN,2024,4190008188358.57
Japan,JPN,2023,4384854269961.93
Japan,JPN,2022,4447976207314.78
Japan,JPN,2021,5225933520753.1
Japan,JPN,2020,5189197543645.38
Japan,JPN,2019,5245755000479.03
Japan,JPN,2018,5154293721629.56
Japan,JPN,2017,5038231631660.71
Japan,JPN,2016,5110357383254.44
Japan,JPN,2015,4534438580494.94
Japan,JPN,2014,4985763289560.81
Japan,JPN,2013,5272297037396.96
Japan,JPN,2012,6333803928787.76
Japan,JPN,2011,6279422550218.7
Japan,JPN,2010,5811578109447.07
Japan,JPN,2009,5336765697589.29
Japan,JPN,2008,5160197175876.43
Japan,JPN,2007,4624670179654.96
Japan,JPN,2006,4648058930707.24
Japan,JPN,2005,4875648486366.14
Japan,JPN,2004,4941485123806.53
Japan,JPN,2003,4573413206709.02
Japan,JPN,2002,4245946980572.3
Japan,JPN,2001,4438792748062.4
Japan,JPN,2000,5042381838343.44
Japan,JPN,1999,4688983449627.24
Japan,JPN,1998,4150359076370.48
Japan,JPN,1997,4579780793431.57
Japan,JPN,1996,5021441618840.38
Japan,JPN,1995,5639649753985.77
Japan,JPN,1994,5104063486348.4
Japan,JPN,1993,4632480515091.13
Japan,JPN,1992,4064529567505.43
Japan,JPN,1991,3724887648862.31
Japan,JPN,1990,3252994239867.4
Japan,JPN,1989,3174934735895.64
Japan,JPN,1988,3191546727316.14
Japan,JPN,1987,2635094473494.08
Japan,JPN,1986,2164729071349.48
Japan,JPN,1985,1457070301468.38
Japan,JPN,1984,1374165212365.14
Japan,JPN,1983,1297622008229.49
Japan,JPN,1982,1183132285328.17
Japan,JPN,1981,1271443597066.78
Japan,JPN,1980,1153159955513.08
Japan,JPN,1979,1100608979757.23
Japan,JPN,1978,1057419758047.0
Japan,JPN,1977,752590681821.906
Japan,JPN,1976,611495350303.909
Japan,JPN,1975,544082569363.602
Japan,JPN,1974,500355087138.052
Japan,JPN,1973,450756970744.018
Japan,JPN,1972,331776379991.589
Japan,JPN,1971,250530994765.279
Japan,JPN,1970,221798003144.444
Japan,JPN,1969,188179852752.982
Japan,JPN,1968,160201483788.149
Japan,JPN,1967,135265319098.216
Japan,JPN,1966,115427351851.278
Japan,JPN,1965,99387878007.5325
Japan,JPN,1964,89332989729.3394
Japan,JPN,1963,75945582324.0881
Japan,JPN,1962,66356388224.3747
Japan,JPN,1961,58472696006.0531
Japan,JPN,1960,48417804544.9319
