country,country_code,year,value
Japan,JPN,2025,35951.0449549304
Japan,JPN,2024,33797.1014287876
Japan,JPN,2023,35215.003535366
Japan,JPN,2022,35548.2645222433
Japan,JPN,2021,41580.739040705
Japan,JPN,2020,41098.9739004553
Japan,JPN,2019,41424.8655601543
Japan,JPN,2018,40645.478086519
Japan,JPN,2017,39679.8635262948
Japan,JPN,2016,40214.9688631562
Japan,JPN,2015,35664.6446110613
Japan,JPN,2014,39172.8471161948
Japan,JPN,2013,41369.1948479498
Japan,JPN,2012,49626.6830327571
Japan,JPN,2011,49122.077634247
Japan,JPN,2010,45378.1378109399
Japan,JPN,2009,41678.1783063195
Japan,JPN,2008,40294.2081309702
Japan,JPN,2007,36129.9535132925
Japan,JPN,2006,36354.4271646349
Japan,JPN,2005,38158.6758263963
Japan,JPN,2004,38677.5708064787
Japan,JPN,2003,35808.6816792388
Japan,JPN,2002,33315.9165174962
Japan,JPN,2001,34910.166403687
Japan,JPN,2000,39752.937397755
Japan,JPN,1999,37028.7168989208
Japan,JPN,1998,32835.1192750829
Japan,JPN,1997,36331.0311480645
Japan,JPN,1996,39929.7185750327
Japan,JPN,1995,44947.4763611465
Japan,JPN,1994,40774.4450809919
Japan,JPN,1993,37110.6114371751
Japan,JPN,1992,32666.5024513195
Japan,JPN,1991,30048.1401766828
Japan,JPN,1990,26344.7273187725
Japan,JPN,1989,25798.0054757546
Japan,JPN,1988,26036.864097278
Japan,JPN,1987,21586.9260294922
Japan,JPN,1986,17819.3400779496
Japan,JPN,1985,12058.1469373485
Japan,JPN,1984,11443.4617086944
Japan,JPN,1983,10876.3275267125
Japan,JPN,1982,9985.92408278337
Japan,JPN,1981,10805.9900652449
Japan,JPN,1980,9872.35315959728
Japan,JPN,1979,9497.01423554433
Japan,JPN,1978,9201.91586719521
Japan,JPN,1977,6609.09338399173
Japan,JPN,1976,5422.25981204974
Japan,JPN,1975,4876.47163169944
Japan,JPN,1974,4541.99349265674
Japan,JPN,1973,4146.53123298424
Japan,JPN,1972,3095.27540388466
Japan,JPN,1971,2370.27536037237
Japan,JPN,1970,2144.98615266911
Japan,JPN,1969,1840.94789376713
Japan,JPN,1968,1585.98057427556
Japan,JPN,1967,1354.29188416199
Japan,JPN,1966,1167.69027982801
Japan,JPN,1965,1014.65899631996
Japan,JPN,1964,921.88053754104
Japan,JPN,1963,791.924737477456
Japan,JPN,1962,698.981262831415
Japan,JPN,1961,621.68620494448
Japan,JPN,1960,519.415170624485
