country,country_code,year,value
Japan,JPN,2025,123366734
Japan,JPN,2024,123975371
Japan,JPN,2023,124516650
Japan,JPN,2022,125124989
Japan,JPN,2021,125681593
Japan,JPN,2020,126261000
Japan,JPN,2019,126633000
Japan,JPN,2018,126811000
Japan,JPN,2017,126972000
Japan,JPN,2016,127076000
Japan,JPN,2015,127141000
Japan,JPN,2014,127276000
Japan,JPN,2013,127445000
Japan,JPN,2012,127629000
Japan,JPN,2011,127833000
Japan,JPN,2010,128070000
Japan,JPN,2009,128047000
Japan,JPN,2008,128063000
Japan,JPN,2007,128001000
Japan,JPN,2006,127854000
Japan,JPN,2005,127773000
Japan,JPN,2004,127761000
Japan,JPN,2003,127718000
Japan,JPN,2002,127445000
Japan,JPN,2001,127149000
Japan,JPN,2000,126843000
Japan,JPN,1999,126631000
Japan,JPN,1998,126400000
Japan,JPN,1997,126057000
Japan,JPN,1996,125757000
Japan,JPN,1995,125472000
Japan,JPN,1994,125178000
Japan,JPN,1993,124829000
Japan,JPN,1992,124425000
Japan,JPN,1991,123964000
Japan,JPN,1990,123478000
Japan,JPN,1989,123069000
Japan,JPN,1988,122578000
Japan,JPN,1987,122069000
Japan,JPN,1986,121482000
Japan,JPN,1985,120837000
Japan,JPN,1984,120083000
Japan,JPN,1983,119307000
Japan,JPN,1982,118480000
Japan,JPN,1981,117661000
Japan,JPN,1980,116807000
Japan,JPN,1979,115890000
Japan,JPN,1978,114913000
Japan,JPN,1977,113872000
Japan,JPN,1976,112775000
Japan,JPN,1975,111573000
Japan,JPN,1974,110162000
Japan,JPN,1973,108707000
Japan,JPN,1972,107188000
Japan,JPN,1971,105697000
Japan,JPN,1970,103403000
Japan,JPN,1969,102219000
Japan,JPN,1968,101011000
Japan,JPN,1967,99879000
Japan,JPN,1966,98851000
Japan,JPN,1965,97952000
Japan,JPN,1964,96903000
Japan,JPN,1963,95900000
Japan,JPN,1962,94933000
Japan,JPN,1961,94055000
Japan,JPN,1960,93216000
