country,country_code,year,value
Malawi,MWI,2025,14918276698.303
Malawi,MWI,2024,11311971400.3864
Malawi,MWI,2023,13363669672.9405
Malawi,MWI,2022,12429059928.102
Malawi,MWI,2021,12378119199.0839
Malawi,MWI,2020,11769313597.8545
Malawi,MWI,2019,11051852712.6142
Malawi,MWI,2018,9879220354.29186
Malawi,MWI,2017,8943543793.5839
Malawi,MWI,2016,7909868618.46366
Malawi,MWI,2015,9219474379.31534
Malawi,MWI,2014,8801326169.14547
Malawi,MWI,2013,8031571927.62055
Malawi,MWI,2012,8773203178.16512
Malawi,MWI,2011,11648142958.3651
Malawi,MWI,2010,10128323010.6049
Malawi,MWI,2009,9009887946.82039
Malawi,MWI,2008,7743617352.21427
Malawi,MWI,2007,6451210219.11683
Malawi,MWI,2006,5818279739.14354
Malawi,MWI,2005,5320409651.47544
Malawi,MWI,2004,5058726350.48896
Malawi,MWI,2003,4669789300.35662
Malawi,MWI,2002,5087328437.8737
Malawi,MWI,2001,2498008664.6691
Malawi,MWI,2000,2537307580.32808
Malawi,MWI,1999,2584478924.06081
Malawi,MWI,1998,2547609590.06984
Malawi,MWI,1997,3875785863.38323
Malawi,MWI,1996,3319573749.6119
Malawi,MWI,1995,2033701497.97085
Malawi,MWI,1994,1719864761.30628
Malawi,MWI,1993,3013392657.99911
Malawi,MWI,1992,2618837835.02508
Malawi,MWI,1991,3206783830.41779
Malawi,MWI,1990,2737087861.62245
Malawi,MWI,1989,2314205129.58032
Malawi,MWI,1988,2008189508.37875
Malawi,MWI,1987,1721711808.48111
Malawi,MWI,1986,1722586299.409
Malawi,MWI,1985,1646442272.89094
Malawi,MWI,1984,1758028656.12928
Malawi,MWI,1983,1780148049.43635
Malawi,MWI,1982,1717379494.63245
Malawi,MWI,1981,1801193909.52073
Malawi,MWI,1980,1801156774.56852
Malawi,MWI,1979,
Malawi,MWI,1978,
Malawi,MWI,1977,
Malawi,MWI,1976,
Malawi,MWI,1975,
Malawi,MWI,1974,
Malawi,MWI,1973,
Malawi,MWI,1972,
Malawi,MWI,1971,
Malawi,MWI,1970,
Malawi,MWI,1969,
Malawi,MWI,1968,
Malawi,MWI,1967,
Malawi,MWI,1966,
Malawi,MWI,1965,
Malawi,MWI,1964,
Malawi,MWI,1963,
Malawi,MWI,1962,
Malawi,MWI,1961,
Malawi,MWI,1960,
