country,country_code,year,value
Malawi,MWI,2025,671.506847203876
Malawi,MWI,2024,522.365366146003
Malawi,MWI,2023,633.214767978695
Malawi,MWI,2022,604.269740360317
Malawi,MWI,2021,617.446994451007
Malawi,MWI,2020,602.507478176106
Malawi,MWI,2019,580.889139762475
Malawi,MWI,2018,533.202567189331
Malawi,MWI,2017,495.769683367165
Malawi,MWI,2016,450.506105510719
Malawi,MWI,2015,539.605363240686
Malawi,MWI,2014,529.5133440206
Malawi,MWI,2013,496.947368267313
Malawi,MWI,2012,558.46208832772
Malawi,MWI,2011,763.061000394572
Malawi,MWI,2010,683.124694716799
Malawi,MWI,2009,625.869729869625
Malawi,MWI,2008,554.048820396119
Malawi,MWI,2007,475.180261659331
Malawi,MWI,2006,440.822149023873
Malawi,MWI,2005,414.361121984475
Malawi,MWI,2004,404.674248445428
Malawi,MWI,2003,383.348596852642
Malawi,MWI,2002,428.210439838398
Malawi,MWI,2001,215.474524898357
Malawi,MWI,2000,224.22415918428
Malawi,MWI,1999,233.935986197873
Malawi,MWI,1998,236.045479450504
Malawi,MWI,1997,366.954461274104
Malawi,MWI,1996,320.662735559137
Malawi,MWI,1995,200.362370007247
Malawi,MWI,1994,169.196526919639
Malawi,MWI,1993,293.016883079922
Malawi,MWI,1992,258.393430877557
Malawi,MWI,1991,325.75273105931
Malawi,MWI,1990,286.730598968269
Malawi,MWI,1989,252.19590741943
Malawi,MWI,1988,229.421843922728
Malawi,MWI,1987,207.605894737179
Malawi,MWI,1986,217.8701899466
Malawi,MWI,1985,216.054136140391
Malawi,MWI,1984,239.74828969103
Malawi,MWI,1983,252.442074600122
Malawi,MWI,1982,253.342697905133
Malawi,MWI,1981,276.407062724717
Malawi,MWI,1980,287.470822426729
Malawi,MWI,1979,
Malawi,MWI,1978,
Malawi,MWI,1977,
Malawi,MWI,1976,
Malawi,MWI,1975,
Malawi,MWI,1974,
Malawi,MWI,1973,
Malawi,MWI,1972,
Malawi,MWI,1971,
Malawi,MWI,1970,
Malawi,MWI,1969,
Malawi,MWI,1968,
Malawi,MWI,1967,
Malawi,MWI,1966,
Malawi,MWI,1965,
Malawi,MWI,1964,
Malawi,MWI,1963,
Malawi,MWI,1962,
Malawi,MWI,1961,
Malawi,MWI,1960,
