country,country_code,year,value
Malawi,MWI,2025,22216120
Malawi,MWI,2024,21655286
Malawi,MWI,2023,21104482
Malawi,MWI,2022,20568728
Malawi,MWI,2021,20047258
Malawi,MWI,2020,19533888
Malawi,MWI,2019,19025752
Malawi,MWI,2018,18528081
Malawi,MWI,2017,18039715
Malawi,MWI,2016,17557739
Malawi,MWI,2015,17085587
Malawi,MWI,2014,16621538
Malawi,MWI,2013,16161816
Malawi,MWI,2012,15709577
Malawi,MWI,2011,15265022
Malawi,MWI,2010,14826463
Malawi,MWI,2009,14395788
Malawi,MWI,2008,13976417
Malawi,MWI,2007,13576343
Malawi,MWI,2006,13198701
Malawi,MWI,2005,12840031
Malawi,MWI,2004,12500737
Malawi,MWI,2003,12181574
Malawi,MWI,2002,11880440
Malawi,MWI,2001,11593058
Malawi,MWI,2000,11315942
Malawi,MWI,1999,11047804
Malawi,MWI,1998,10792876
Malawi,MWI,1997,10562035
Malawi,MWI,1996,10352228
Malawi,MWI,1995,10150117
Malawi,MWI,1994,10164894
Malawi,MWI,1993,10284024
Malawi,MWI,1992,10135079
Malawi,MWI,1991,9844227
Malawi,MWI,1990,9545852
Malawi,MWI,1989,9176220
Malawi,MWI,1988,8753262
Malawi,MWI,1987,8293174
Malawi,MWI,1986,7906480
Malawi,MWI,1985,7620508
Malawi,MWI,1984,7332810
Malawi,MWI,1983,7051709
Malawi,MWI,1982,6778879
Malawi,MWI,1981,6516454
Malawi,MWI,1980,6265529
Malawi,MWI,1979,6028749
Malawi,MWI,1978,5810132
Malawi,MWI,1977,5614983
Malawi,MWI,1976,5443384
Malawi,MWI,1975,5287367
Malawi,MWI,1974,5141337
Malawi,MWI,1973,5003938
Malawi,MWI,1972,4874475
Malawi,MWI,1971,4751434
Malawi,MWI,1970,4633944
Malawi,MWI,1969,4521184
Malawi,MWI,1968,4411054
Malawi,MWI,1967,4303012
Malawi,MWI,1966,4197926
Malawi,MWI,1965,4096157
Malawi,MWI,1964,3997305
Malawi,MWI,1963,3900506
Malawi,MWI,1962,3806307
Malawi,MWI,1961,3715534
Malawi,MWI,1960,3628134
