country,country_code,year,value
Malawi,MWI,2025,
Malawi,MWI,2024,
Malawi,MWI,2023,36.644092994481
Malawi,MWI,2022,35.5084899925617
Malawi,MWI,2021,35.8885917563293
Malawi,MWI,2020,41.4565075090498
Malawi,MWI,2019,35.5212672502146
Malawi,MWI,2018,38.8324397802949
Malawi,MWI,2017,39.6154222954854
Malawi,MWI,2016,38.1843681335449
Malawi,MWI,2015,39.7291461793841
Malawi,MWI,2014,39.5435659506335
Malawi,MWI,2013,37.847295845447
Malawi,MWI,2012,34.8210140987042
Malawi,MWI,2011,34.7371599213107
Malawi,MWI,2010,33.6619814891638
Malawi,MWI,2009,33.3515281677246
Malawi,MWI,2008,32.6917381286621
Malawi,MWI,2007,30.2626094818115
Malawi,MWI,2006,30.5642108917236
Malawi,MWI,2005,28.7130393981934
Malawi,MWI,2004,28.9145393371582
Malawi,MWI,2003,
Malawi,MWI,2002,31.3253707885742
Malawi,MWI,2001,32.2248115539551
Malawi,MWI,2000,31.0989303588867
Malawi,MWI,1999,36.4167785644531
Malawi,MWI,1998,31.6595001220703
Malawi,MWI,1997,
Malawi,MWI,1996,24.1506099700928
Malawi,MWI,1995,23.3880996704102
Malawi,MWI,1994,15.6898698806763
Malawi,MWI,1993,17.8164806365967
Malawi,MWI,1992,19.5548591613769
Malawi,MWI,1991,17.5205307006836
Malawi,MWI,1990,17.3963298797607
Malawi,MWI,1989,17.112190246582
Malawi,MWI,1988,17.5141105651856
Malawi,MWI,1987,18.0580005645752
Malawi,MWI,1986,17.4404106140137
Malawi,MWI,1985,17.4512100219727
Malawi,MWI,1984,17.633430480957
Malawi,MWI,1983,17.2437992095947
Malawi,MWI,1982,17.4345397949219
Malawi,MWI,1981,16.7660102844238
Malawi,MWI,1980,16.4772891998291
Malawi,MWI,1979,14.5730695724487
Malawi,MWI,1978,14.4027299880981
Malawi,MWI,1977,13.640230178833
Malawi,MWI,1976,12.4856796264648
Malawi,MWI,1975,12.1427202224731
Malawi,MWI,1974,10.9094104766846
Malawi,MWI,1973,11.4785404205322
Malawi,MWI,1972,10.9785203933716
Malawi,MWI,1971,
Malawi,MWI,1970,
Malawi,MWI,1969,
Malawi,MWI,1968,
Malawi,MWI,1967,
Malawi,MWI,1966,
Malawi,MWI,1965,
Malawi,MWI,1964,
Malawi,MWI,1963,
Malawi,MWI,1962,
Malawi,MWI,1961,
Malawi,MWI,1960,
