country,country_code,year,value
Malawi,MWI,2025,5.072
Malawi,MWI,2024,5.051
Malawi,MWI,2023,5.009
Malawi,MWI,2022,5.02
Malawi,MWI,2021,5.652
Malawi,MWI,2020,5.72
Malawi,MWI,2019,4.964
Malawi,MWI,2018,5.021
Malawi,MWI,2017,5.046
Malawi,MWI,2016,5.011
Malawi,MWI,2015,4.953
Malawi,MWI,2014,4.967
Malawi,MWI,2013,4.978
Malawi,MWI,2012,4.949
Malawi,MWI,2011,4.829
Malawi,MWI,2010,4.78
Malawi,MWI,2009,4.732
Malawi,MWI,2008,4.796
Malawi,MWI,2007,4.876
Malawi,MWI,2006,4.954
Malawi,MWI,2005,4.935
Malawi,MWI,2004,4.964
Malawi,MWI,2003,5.165
Malawi,MWI,2002,5.248
Malawi,MWI,2001,5.221
Malawi,MWI,2000,5.045
Malawi,MWI,1999,5.002
Malawi,MWI,1998,4.921
Malawi,MWI,1997,4.69
Malawi,MWI,1996,4.94
Malawi,MWI,1995,4.895
Malawi,MWI,1994,5.368
Malawi,MWI,1993,4.988
Malawi,MWI,1992,5.064
Malawi,MWI,1991,4.9
Malawi,MWI,1990,
Malawi,MWI,1989,
Malawi,MWI,1988,
Malawi,MWI,1987,
Malawi,MWI,1986,
Malawi,MWI,1985,
Malawi,MWI,1984,
Malawi,MWI,1983,
Malawi,MWI,1982,
Malawi,MWI,1981,
Malawi,MWI,1980,
Malawi,MWI,1979,
Malawi,MWI,1978,
Malawi,MWI,1977,
Malawi,MWI,1976,
Malawi,MWI,1975,
Malawi,MWI,1974,
Malawi,MWI,1973,
Malawi,MWI,1972,
Malawi,MWI,1971,
Malawi,MWI,1970,
Malawi,MWI,1969,
Malawi,MWI,1968,
Malawi,MWI,1967,
Malawi,MWI,1966,
Malawi,MWI,1965,
Malawi,MWI,1964,
Malawi,MWI,1963,
Malawi,MWI,1962,
Malawi,MWI,1961,
Malawi,MWI,1960,
