country,country_code,year,value
Nigeria,NGA,2025,290794361542.112
Nigeria,NGA,2024,252261880140.271
Nigeria,NGA,2023,487387801877.803
Nigeria,NGA,2022,646950257575.455
Nigeria,NGA,2021,609147716965.348
Nigeria,NGA,2020,598586817817.392
Nigeria,NGA,2019,668219992686.575
Nigeria,NGA,2018,421739251509.08
Nigeria,NGA,2017,375745731053.427
Nigeria,NGA,2016,404649125252.16
Nigeria,NGA,2015,493026682800.63
Nigeria,NGA,2014,574183763411.508
Nigeria,NGA,2013,520117180313.906
Nigeria,NGA,2012,463971018239.281
Nigeria,NGA,2011,414466676831.16
Nigeria,NGA,2010,366990417129.04
Nigeria,NGA,2009,295008835380.997
Nigeria,NGA,2008,339476276257.793
Nigeria,NGA,2007,278260846800.103
Nigeria,NGA,2006,238454997161.48
Nigeria,NGA,2005,175670569969.346
Nigeria,NGA,2004,135764731645.611
Nigeria,NGA,2003,104738954264.226
Nigeria,NGA,2002,95054059302.6995
Nigeria,NGA,2001,73557840064.489
Nigeria,NGA,2000,69171451627.2465
Nigeria,NGA,1999,59145077039.1437
Nigeria,NGA,1998,218416200672.727
Nigeria,NGA,1997,200850397618.182
Nigeria,NGA,1996,185730236700.0
Nigeria,NGA,1995,140919776986.364
Nigeria,NGA,1994,80399613063.6364
Nigeria,NGA,1993,56721051402.4732
Nigeria,NGA,1992,52058181853.8055
Nigeria,NGA,1991,59526833412.3581
Nigeria,NGA,1990,54035795387.8086
Nigeria,NGA,1989,44003061108.4005
Nigeria,NGA,1988,49648470440.4593
Nigeria,NGA,1987,52676041931.1087
Nigeria,NGA,1986,54805852580.9129
Nigeria,NGA,1985,73745821158.2254
Nigeria,NGA,1984,73484359521.4887
Nigeria,NGA,1983,97094911792.0489
Nigeria,NGA,1982,142769363314.176
Nigeria,NGA,1981,164475209515.939
Nigeria,NGA,1980,64201788122.6054
Nigeria,NGA,1979,47259911894.2731
Nigeria,NGA,1978,36527862208.7133
Nigeria,NGA,1977,36035407725.3219
Nigeria,NGA,1976,36308883248.731
Nigeria,NGA,1975,27778934624.6973
Nigeria,NGA,1974,24846641318.1242
Nigeria,NGA,1973,15162871287.1287
Nigeria,NGA,1972,12274416017.7976
Nigeria,NGA,1971,9181769911.50443
Nigeria,NGA,1970,12546094981.562
Nigeria,NGA,1969,6634317346.27306
Nigeria,NGA,1968,5200997919.60083
Nigeria,NGA,1967,5203237918.70483
Nigeria,NGA,1966,6366917453.23302
Nigeria,NGA,1965,5874537650.18494
Nigeria,NGA,1964,5552931318.82747
Nigeria,NGA,1963,5165590253.7639
Nigeria,NGA,1962,4909399176.24033
Nigeria,NGA,1961,4467287893.08484
Nigeria,NGA,1960,4196174501.5302
