country,country_code,year,value
Nigeria,NGA,2025,1224.25410237743
Nigeria,NGA,2024,1084.16041805058
Nigeria,NGA,2023,2138.76383718757
Nigeria,NGA,2022,2899.16047469267
Nigeria,NGA,2021,2787.48779220991
Nigeria,NGA,2020,2797.184580679
Nigeria,NGA,2019,3189.81286496183
Nigeria,NGA,2018,2057.87944554011
Nigeria,NGA,2017,1876.34027111773
Nigeria,NGA,2016,2070.4127339595
Nigeria,NGA,2015,2585.73360671797
Nigeria,NGA,2014,3088.72131316169
Nigeria,NGA,2013,2872.79083379398
Nigeria,NGA,2012,2633.19734671361
Nigeria,NGA,2011,2418.41316975875
Nigeria,NGA,2010,2202.25672957344
Nigeria,NGA,2009,1820.48633854782
Nigeria,NGA,2008,2154.10543545364
Nigeria,NGA,2007,1815.52697545827
Nigeria,NGA,2006,1599.53891556365
Nigeria,NGA,2005,1211.37703504386
Nigeria,NGA,2004,962.48104194733
Nigeria,NGA,2003,763.388745367223
Nigeria,NGA,2002,712.164852077686
Nigeria,NGA,2001,566.428231812933
Nigeria,NGA,2000,547.318298903379
Nigeria,NGA,1999,480.669363941805
Nigeria,NGA,1998,1822.46998452473
Nigeria,NGA,1997,1720.27540949396
Nigeria,NGA,1996,1632.72469370276
Nigeria,NGA,1995,1271.61617353199
Nigeria,NGA,1994,744.884247151377
Nigeria,NGA,1993,539.573202297542
Nigeria,NGA,1992,508.515905682785
Nigeria,NGA,1991,596.938795710722
Nigeria,NGA,1990,556.376449130902
Nigeria,NGA,1989,465.488089532188
Nigeria,NGA,1988,539.539468397166
Nigeria,NGA,1987,587.956613434089
Nigeria,NGA,1986,628.248453718536
Nigeria,NGA,1985,868.640540548893
Nigeria,NGA,1984,890.434106332302
Nigeria,NGA,1983,1207.07374565349
Nigeria,NGA,1982,1821.53265482387
Nigeria,NGA,1981,2162.20995436075
Nigeria,NGA,1980,870.359934682057
Nigeria,NGA,1979,660.994040864293
Nigeria,NGA,1978,526.895852928476
Nigeria,NGA,1977,535.965307817329
Nigeria,NGA,1976,556.389687719878
Nigeria,NGA,1975,438.078813916795
Nigeria,NGA,1974,402.836999782685
Nigeria,NGA,1973,252.369032452868
Nigeria,NGA,1972,209.454776294345
Nigeria,NGA,1971,160.479255841113
Nigeria,NGA,1970,224.46293599595
Nigeria,NGA,1969,121.436663307697
Nigeria,NGA,1968,97.3372081255964
Nigeria,NGA,1967,99.5014906604697
Nigeria,NGA,1966,124.382440176253
Nigeria,NGA,1965,117.287226824734
Nigeria,NGA,1964,113.297345671875
Nigeria,NGA,1963,107.675741358944
Nigeria,NGA,1962,104.532495533943
Nigeria,NGA,1961,97.1375281143562
Nigeria,NGA,1960,93.1370090424417
