country,country_code,year,value
Nigeria,NGA,2025,
Nigeria,NGA,2024,54.635
Nigeria,NGA,2023,54.462
Nigeria,NGA,2022,54.079
Nigeria,NGA,2021,53.455
Nigeria,NGA,2020,53.072
Nigeria,NGA,2019,53.009
Nigeria,NGA,2018,52.669
Nigeria,NGA,2017,52.397
Nigeria,NGA,2016,52.189
Nigeria,NGA,2015,51.939
Nigeria,NGA,2014,51.94
Nigeria,NGA,2013,51.827
Nigeria,NGA,2012,51.688
Nigeria,NGA,2011,51.49
Nigeria,NGA,2010,51.315
Nigeria,NGA,2009,51.08
Nigeria,NGA,2008,50.748
Nigeria,NGA,2007,50.381
Nigeria,NGA,2006,49.876
Nigeria,NGA,2005,49.538
Nigeria,NGA,2004,49.148
Nigeria,NGA,2003,48.618
Nigeria,NGA,2002,48.02
Nigeria,NGA,2001,47.549
Nigeria,NGA,2000,47.143
Nigeria,NGA,1999,46.609
Nigeria,NGA,1998,46.148
Nigeria,NGA,1997,45.96
Nigeria,NGA,1996,45.833
Nigeria,NGA,1995,45.87
Nigeria,NGA,1994,45.748
Nigeria,NGA,1993,45.783
Nigeria,NGA,1992,45.587
Nigeria,NGA,1991,45.483
Nigeria,NGA,1990,45.733
Nigeria,NGA,1989,45.83
Nigeria,NGA,1988,45.834
Nigeria,NGA,1987,45.89
Nigeria,NGA,1986,45.953
Nigeria,NGA,1985,46.193
Nigeria,NGA,1984,46.339
Nigeria,NGA,1983,46.442
Nigeria,NGA,1982,46.437
Nigeria,NGA,1981,46.309
Nigeria,NGA,1980,45.959
Nigeria,NGA,1979,45.738
Nigeria,NGA,1978,45.348
Nigeria,NGA,1977,44.847
Nigeria,NGA,1976,44.186
Nigeria,NGA,1975,43.054
Nigeria,NGA,1974,42.489
Nigeria,NGA,1973,41.831
Nigeria,NGA,1972,41.273
Nigeria,NGA,1971,40.606
Nigeria,NGA,1970,40.008
Nigeria,NGA,1969,38.946
Nigeria,NGA,1968,38.642
Nigeria,NGA,1967,37.497
Nigeria,NGA,1966,38.355
Nigeria,NGA,1965,38.221
Nigeria,NGA,1964,37.98
Nigeria,NGA,1963,37.806
Nigeria,NGA,1962,37.606
Nigeria,NGA,1961,37.427
Nigeria,NGA,1960,37.207
