country,country_code,year,value
Nigeria,NGA,2025,3.064
Nigeria,NGA,2024,3.045
Nigeria,NGA,2023,3.074
Nigeria,NGA,2022,3.827
Nigeria,NGA,2021,5.404
Nigeria,NGA,2020,5.714
Nigeria,NGA,2019,5.206
Nigeria,NGA,2018,5.069
Nigeria,NGA,2017,4.83
Nigeria,NGA,2016,4.499
Nigeria,NGA,2015,4.134
Nigeria,NGA,2014,3.9
Nigeria,NGA,2013,3.711
Nigeria,NGA,2012,3.761
Nigeria,NGA,2011,3.77
Nigeria,NGA,2010,3.744
Nigeria,NGA,2009,3.763
Nigeria,NGA,2008,3.792
Nigeria,NGA,2007,3.794
Nigeria,NGA,2006,3.749
Nigeria,NGA,2005,3.727
Nigeria,NGA,2004,3.59
Nigeria,NGA,2003,3.637
Nigeria,NGA,2002,3.669
Nigeria,NGA,2001,3.9
Nigeria,NGA,2000,3.953
Nigeria,NGA,1999,3.986
Nigeria,NGA,1998,3.922
Nigeria,NGA,1997,3.964
Nigeria,NGA,1996,4.043
Nigeria,NGA,1995,4.152
Nigeria,NGA,1994,4.064
Nigeria,NGA,1993,4.023
Nigeria,NGA,1992,3.79
Nigeria,NGA,1991,3.831
Nigeria,NGA,1990,
Nigeria,NGA,1989,
Nigeria,NGA,1988,
Nigeria,NGA,1987,
Nigeria,NGA,1986,
Nigeria,NGA,1985,
Nigeria,NGA,1984,
Nigeria,NGA,1983,
Nigeria,NGA,1982,
Nigeria,NGA,1981,
Nigeria,NGA,1980,
Nigeria,NGA,1979,
Nigeria,NGA,1978,
Nigeria,NGA,1977,
Nigeria,NGA,1976,
Nigeria,NGA,1975,
Nigeria,NGA,1974,
Nigeria,NGA,1973,
Nigeria,NGA,1972,
Nigeria,NGA,1971,
Nigeria,NGA,1970,
Nigeria,NGA,1969,
Nigeria,NGA,1968,
Nigeria,NGA,1967,
Nigeria,NGA,1966,
Nigeria,NGA,1965,
Nigeria,NGA,1964,
Nigeria,NGA,1963,
Nigeria,NGA,1962,
Nigeria,NGA,1961,
Nigeria,NGA,1960,
