country,country_code,year,value
Nepal,NPL,2025,
Nepal,NPL,2024,97.9
Nepal,NPL,2023,94.0
Nepal,NPL,2022,91.3
Nepal,NPL,2021,89.9
Nepal,NPL,2020,89.9
Nepal,NPL,2019,89.9
Nepal,NPL,2018,93.9
Nepal,NPL,2017,86.6
Nepal,NPL,2016,90.7
Nepal,NPL,2015,82.0
Nepal,NPL,2014,84.9
Nepal,NPL,2013,77.4
Nepal,NPL,2012,75.2
Nepal,NPL,2011,67.3
Nepal,NPL,2010,68.6
Nepal,NPL,2009,59.3
Nepal,NPL,2008,56.0
Nepal,NPL,2007,52.6
Nepal,NPL,2006,51.2
Nepal,NPL,2005,46.1
Nepal,NPL,2004,37.2
Nepal,NPL,2003,39.6
Nepal,NPL,2002,36.4
Nepal,NPL,2001,24.6
Nepal,NPL,2000,29.9
Nepal,NPL,1999,25.3273544311523
Nepal,NPL,1998,21.7325325012207
Nepal,NPL,1997,18.1328678131104
Nepal,NPL,1996,17.9
Nepal,NPL,1995,
Nepal,NPL,1994,
Nepal,NPL,1993,
Nepal,NPL,1992,
Nepal,NPL,1991,
Nepal,NPL,1990,
Nepal,NPL,1989,
Nepal,NPL,1988,
Nepal,NPL,1987,
Nepal,NPL,1986,
Nepal,NPL,1985,
Nepal,NPL,1984,
Nepal,NPL,1983,
Nepal,NPL,1982,
Nepal,NPL,1981,
Nepal,NPL,1980,
Nepal,NPL,1979,
Nepal,NPL,1978,
Nepal,NPL,1977,
Nepal,NPL,1976,
Nepal,NPL,1975,
Nepal,NPL,1974,
Nepal,NPL,1973,
Nepal,NPL,1972,
Nepal,NPL,1971,
Nepal,NPL,1970,
Nepal,NPL,1969,
Nepal,NPL,1968,
Nepal,NPL,1967,
Nepal,NPL,1966,
Nepal,NPL,1965,
Nepal,NPL,1964,
Nepal,NPL,1963,
Nepal,NPL,1962,
Nepal,NPL,1961,
Nepal,NPL,1960,
