country,country_code,year,value
Nepal,NPL,2025,
Nepal,NPL,2024,70.636
Nepal,NPL,2023,70.354
Nepal,NPL,2022,70.087
Nepal,NPL,2021,68.385
Nepal,NPL,2020,69.106
Nepal,NPL,2019,69.299
Nepal,NPL,2018,69.036
Nepal,NPL,2017,68.74
Nepal,NPL,2016,68.444
Nepal,NPL,2015,67.374
Nepal,NPL,2014,67.812
Nepal,NPL,2013,67.598
Nepal,NPL,2012,67.364
Nepal,NPL,2011,67.123
Nepal,NPL,2010,66.772
Nepal,NPL,2009,66.6
Nepal,NPL,2008,66.442
Nepal,NPL,2007,66.169
Nepal,NPL,2006,65.891
Nepal,NPL,2005,65.275
Nepal,NPL,2004,64.744
Nepal,NPL,2003,64.229
Nepal,NPL,2002,63.507
Nepal,NPL,2001,63.288
Nepal,NPL,2000,62.642
Nepal,NPL,1999,62.035
Nepal,NPL,1998,61.532
Nepal,NPL,1997,60.823
Nepal,NPL,1996,60.044
Nepal,NPL,1995,59.323
Nepal,NPL,1994,58.631
Nepal,NPL,1993,57.597
Nepal,NPL,1992,56.686
Nepal,NPL,1991,55.65
Nepal,NPL,1990,54.771
Nepal,NPL,1989,54.013
Nepal,NPL,1988,53.109
Nepal,NPL,1987,52.382
Nepal,NPL,1986,51.594
Nepal,NPL,1985,50.922
Nepal,NPL,1984,50.227
Nepal,NPL,1983,49.676
Nepal,NPL,1982,49.181
Nepal,NPL,1981,48.662
Nepal,NPL,1980,48.333
Nepal,NPL,1979,47.766
Nepal,NPL,1978,47.202
Nepal,NPL,1977,46.628
Nepal,NPL,1976,45.991
Nepal,NPL,1975,45.499
Nepal,NPL,1974,44.919
Nepal,NPL,1973,44.485
Nepal,NPL,1972,44.068
Nepal,NPL,1971,43.616
Nepal,NPL,1970,43.151
Nepal,NPL,1969,42.722
Nepal,NPL,1968,42.173
Nepal,NPL,1967,41.71
Nepal,NPL,1966,41.239
Nepal,NPL,1965,40.688
Nepal,NPL,1964,40.229
Nepal,NPL,1963,39.608
Nepal,NPL,1962,39.333
Nepal,NPL,1961,38.966
Nepal,NPL,1960,38.652
