country,country_code,year,value
Nepal,NPL,2025,29618118
Nepal,NPL,2024,29651054
Nepal,NPL,2023,29694614
Nepal,NPL,2022,29715436
Nepal,NPL,2021,29475010
Nepal,NPL,2020,28966574
Nepal,NPL,2019,28414064
Nepal,NPL,2018,28079689
Nepal,NPL,2017,28011258
Nepal,NPL,2016,27955462
Nepal,NPL,2015,27823629
Nepal,NPL,2014,27672370
Nepal,NPL,2013,27589996
Nepal,NPL,2012,27534915
Nepal,NPL,2011,27464494
Nepal,NPL,2010,27341952
Nepal,NPL,2009,27173035
Nepal,NPL,2008,26990037
Nepal,NPL,2007,26788492
Nepal,NPL,2006,26565425
Nepal,NPL,2005,26309458
Nepal,NPL,2004,26016656
Nepal,NPL,2003,25688758
Nepal,NPL,2002,25328981
Nepal,NPL,2001,24946748
Nepal,NPL,2000,24546509
Nepal,NPL,1999,24125199
Nepal,NPL,1998,23680357
Nepal,NPL,1997,23219463
Nepal,NPL,1996,22741862
Nepal,NPL,1995,22245439
Nepal,NPL,1994,21717479
Nepal,NPL,1993,21180159
Nepal,NPL,1992,20609707
Nepal,NPL,1991,20036500
Nepal,NPL,1990,19524573
Nepal,NPL,1989,19057807
Nepal,NPL,1988,18638661
Nepal,NPL,1987,18250505
Nepal,NPL,1986,17868124
Nepal,NPL,1985,17477692
Nepal,NPL,1984,17085242
Nepal,NPL,1983,16689119
Nepal,NPL,1982,16297987
Nepal,NPL,1981,15922423
Nepal,NPL,1980,15553105
Nepal,NPL,1979,15190590
Nepal,NPL,1978,14839695
Nepal,NPL,1977,14499175
Nepal,NPL,1976,14177649
Nepal,NPL,1975,13870695
Nepal,NPL,1974,13568435
Nepal,NPL,1973,13275239
Nepal,NPL,1972,12989099
Nepal,NPL,1971,12710061
Nepal,NPL,1970,12436190
Nepal,NPL,1969,12167036
Nepal,NPL,1968,11906266
Nepal,NPL,1967,11652716
Nepal,NPL,1966,11408710
Nepal,NPL,1965,11173411
Nepal,NPL,1964,10946392
Nepal,NPL,1963,10729818
Nepal,NPL,1962,10521116
Nepal,NPL,1961,10318396
Nepal,NPL,1960,10123658
