country,country_code,year,value
Nepal,NPL,2025,
Nepal,NPL,2024,90.3878462155916
Nepal,NPL,2023,89.8898815141438
Nepal,NPL,2022,84.1026475876285
Nepal,NPL,2021,83.9220209713597
Nepal,NPL,2020,85.3101577758789
Nepal,NPL,2019,80.2800521850586
Nepal,NPL,2018,
Nepal,NPL,2017,74.4113311767578
Nepal,NPL,2016,71.7744979858398
Nepal,NPL,2015,68.6131210327148
Nepal,NPL,2014,67.5318298339844
Nepal,NPL,2013,65.4935302734375
Nepal,NPL,2012,63.1414794921875
Nepal,NPL,2011,58.9935111999512
Nepal,NPL,2010,55.5892906188965
Nepal,NPL,2009,49.2625999450684
Nepal,NPL,2008,48.0189094543457
Nepal,NPL,2007,42.0970306396484
Nepal,NPL,2006,42.5181617736816
Nepal,NPL,2005,45.098201751709
Nepal,NPL,2004,
Nepal,NPL,2003,42.0749092102051
Nepal,NPL,2002,41.0556297302246
Nepal,NPL,2001,37.3896903991699
Nepal,NPL,2000,34.4201507568359
Nepal,NPL,1999,33.1490211486816
Nepal,NPL,1998,
Nepal,NPL,1997,
Nepal,NPL,1996,43.1790885925293
Nepal,NPL,1995,40.1949615478516
Nepal,NPL,1994,38.3644485473633
Nepal,NPL,1993,37.9471893310547
Nepal,NPL,1992,36.6419982910156
Nepal,NPL,1991,34.0466995239258
Nepal,NPL,1990,32.03369140625
Nepal,NPL,1989,30.888879776001
Nepal,NPL,1988,29.2296390533447
Nepal,NPL,1987,28.3090000152588
Nepal,NPL,1986,27.0147800445557
Nepal,NPL,1985,25.4660491943359
Nepal,NPL,1984,23.8365802764893
Nepal,NPL,1983,22.4334201812744
Nepal,NPL,1982,20.3783092498779
Nepal,NPL,1981,17.7367706298828
Nepal,NPL,1980,
Nepal,NPL,1979,
Nepal,NPL,1978,
Nepal,NPL,1977,
Nepal,NPL,1976,
Nepal,NPL,1975,
Nepal,NPL,1974,
Nepal,NPL,1973,
Nepal,NPL,1972,
Nepal,NPL,1971,
Nepal,NPL,1970,
Nepal,NPL,1969,
Nepal,NPL,1968,
Nepal,NPL,1967,
Nepal,NPL,1966,
Nepal,NPL,1965,
Nepal,NPL,1964,
Nepal,NPL,1963,
Nepal,NPL,1962,
Nepal,NPL,1961,
Nepal,NPL,1960,
