country,country_code,year,value
Nepal,NPL,2025,10.465
Nepal,NPL,2024,10.5
Nepal,NPL,2023,10.437
Nepal,NPL,2022,10.661
Nepal,NPL,2021,12.241
Nepal,NPL,2020,13.037
Nepal,NPL,2019,10.477
Nepal,NPL,2018,10.593
Nepal,NPL,2017,10.66
Nepal,NPL,2016,10.714
Nepal,NPL,2015,10.643
Nepal,NPL,2014,10.62
Nepal,NPL,2013,10.666
Nepal,NPL,2012,10.632
Nepal,NPL,2011,10.627
Nepal,NPL,2010,10.563
Nepal,NPL,2009,10.582
Nepal,NPL,2008,10.597
Nepal,NPL,2007,10.642
Nepal,NPL,2006,10.609
Nepal,NPL,2005,10.59
Nepal,NPL,2004,10.652
Nepal,NPL,2003,10.644
Nepal,NPL,2002,10.593
Nepal,NPL,2001,10.502
Nepal,NPL,2000,10.531
Nepal,NPL,1999,10.549
Nepal,NPL,1998,10.526
Nepal,NPL,1997,10.512
Nepal,NPL,1996,10.446
Nepal,NPL,1995,10.473
Nepal,NPL,1994,10.458
Nepal,NPL,1993,10.492
Nepal,NPL,1992,10.473
Nepal,NPL,1991,10.465
Nepal,NPL,1990,
Nepal,NPL,1989,
Nepal,NPL,1988,
Nepal,NPL,1987,
Nepal,NPL,1986,
Nepal,NPL,1985,
Nepal,NPL,1984,
Nepal,NPL,1983,
Nepal,NPL,1982,
Nepal,NPL,1981,
Nepal,NPL,1980,
Nepal,NPL,1979,
Nepal,NPL,1978,
Nepal,NPL,1977,
Nepal,NPL,1976,
Nepal,NPL,1975,
Nepal,NPL,1974,
Nepal,NPL,1973,
Nepal,NPL,1972,
Nepal,NPL,1971,
Nepal,NPL,1970,
Nepal,NPL,1969,
Nepal,NPL,1968,
Nepal,NPL,1967,
Nepal,NPL,1966,
Nepal,NPL,1965,
Nepal,NPL,1964,
Nepal,NPL,1963,
Nepal,NPL,1962,
Nepal,NPL,1961,
Nepal,NPL,1960,
