country,country_code,year,value
Pakistan,PAK,2025,5.42
Pakistan,PAK,2024,5.492
Pakistan,PAK,2023,5.237
Pakistan,PAK,2022,5.291
Pakistan,PAK,2021,6.338
Pakistan,PAK,2020,5.994
Pakistan,PAK,2019,4.83
Pakistan,PAK,2018,4.083
Pakistan,PAK,2017,3.204
Pakistan,PAK,2016,2.285
Pakistan,PAK,2015,3.566
Pakistan,PAK,2014,1.827
Pakistan,PAK,2013,2.954
Pakistan,PAK,2012,3.667
Pakistan,PAK,2011,0.796
Pakistan,PAK,2010,0.653
Pakistan,PAK,2009,0.535
Pakistan,PAK,2008,0.423
Pakistan,PAK,2007,0.398
Pakistan,PAK,2006,0.582
Pakistan,PAK,2005,0.583
Pakistan,PAK,2004,0.598
Pakistan,PAK,2003,0.612
Pakistan,PAK,2002,0.615
Pakistan,PAK,2001,0.611
Pakistan,PAK,2000,0.614
Pakistan,PAK,1999,0.625
Pakistan,PAK,1998,0.62
Pakistan,PAK,1997,0.611
Pakistan,PAK,1996,0.6
Pakistan,PAK,1995,0.611
Pakistan,PAK,1994,0.601
Pakistan,PAK,1993,0.596
Pakistan,PAK,1992,0.587
Pakistan,PAK,1991,0.596
Pakistan,PAK,1990,
Pakistan,PAK,1989,
Pakistan,PAK,1988,
Pakistan,PAK,1987,
Pakistan,PAK,1986,
Pakistan,PAK,1985,
Pakistan,PAK,1984,
Pakistan,PAK,1983,
Pakistan,PAK,1982,
Pakistan,PAK,1981,
Pakistan,PAK,1980,
Pakistan,PAK,1979,
Pakistan,PAK,1978,
Pakistan,PAK,1977,
Pakistan,PAK,1976,
Pakistan,PAK,1975,
Pakistan,PAK,1974,
Pakistan,PAK,1973,
Pakistan,PAK,1972,
Pakistan,PAK,1971,
Pakistan,PAK,1970,
Pakistan,PAK,1969,
Pakistan,PAK,1968,
Pakistan,PAK,1967,
Pakistan,PAK,1966,
Pakistan,PAK,1965,
Pakistan,PAK,1964,
Pakistan,PAK,1963,
Pakistan,PAK,1962,
Pakistan,PAK,1961,
Pakistan,PAK,1960,
