country,country_code,year,value
Uganda,UGA,2025,
Uganda,UGA,2024,55.3
Uganda,UGA,2023,51.5
Uganda,UGA,2022,47.1
Uganda,UGA,2021,45.2
Uganda,UGA,2020,42.1
Uganda,UGA,2019,41.3
Uganda,UGA,2018,41.9
Uganda,UGA,2017,32.4
Uganda,UGA,2016,26.7
Uganda,UGA,2015,18.5
Uganda,UGA,2014,20.4
Uganda,UGA,2013,13.9
Uganda,UGA,2012,20.5
Uganda,UGA,2011,14.6
Uganda,UGA,2010,12.1
Uganda,UGA,2009,10.0
Uganda,UGA,2008,15.9
Uganda,UGA,2007,14.8
Uganda,UGA,2006,9.0
Uganda,UGA,2005,8.9
Uganda,UGA,2004,11.6
Uganda,UGA,2003,10.5
Uganda,UGA,2002,7.8
Uganda,UGA,2001,8.6
Uganda,UGA,2000,7.4
Uganda,UGA,1999,6.19963407516479
Uganda,UGA,1998,5.07471179962158
Uganda,UGA,1997,3.94494771957397
Uganda,UGA,1996,2.81110429763794
Uganda,UGA,1995,6.8
Uganda,UGA,1994,0.533898532390594
Uganda,UGA,1993,
Uganda,UGA,1992,
Uganda,UGA,1991,5.6
Uganda,UGA,1990,
Uganda,UGA,1989,
Uganda,UGA,1988,
Uganda,UGA,1987,
Uganda,UGA,1986,
Uganda,UGA,1985,
Uganda,UGA,1984,
Uganda,UGA,1983,
Uganda,UGA,1982,
Uganda,UGA,1981,
Uganda,UGA,1980,
Uganda,UGA,1979,
Uganda,UGA,1978,
Uganda,UGA,1977,
Uganda,UGA,1976,
Uganda,UGA,1975,
Uganda,UGA,1974,
Uganda,UGA,1973,
Uganda,UGA,1972,
Uganda,UGA,1971,
Uganda,UGA,1970,
Uganda,UGA,1969,
Uganda,UGA,1968,
Uganda,UGA,1967,
Uganda,UGA,1966,
Uganda,UGA,1965,
Uganda,UGA,1964,
Uganda,UGA,1963,
Uganda,UGA,1962,
Uganda,UGA,1961,
Uganda,UGA,1960,
