country,country_code,year,value
Uganda,UGA,2025,1206.30450825002
Uganda,UGA,2024,1077.91278438613
Uganda,UGA,2023,1002.30913917142
Uganda,UGA,2022,963.067314117178
Uganda,UGA,2021,882.791717542504
Uganda,UGA,2020,845.766463890124
Uganda,UGA,2019,822.171150036357
Uganda,UGA,2018,792.16570022814
Uganda,UGA,2017,765.218332297361
Uganda,UGA,2016,752.696571725656
Uganda,UGA,2015,862.934610355811
Uganda,UGA,2014,896.054795546394
Uganda,UGA,2013,818.285427416713
Uganda,UGA,2012,795.222867553127
Uganda,UGA,2011,835.620060555838
Uganda,UGA,2010,823.488144282
Uganda,UGA,2009,798.947089938247
Uganda,UGA,2008,472.842681495852
Uganda,UGA,2007,401.389130865581
Uganda,UGA,2006,346.518255310647
Uganda,UGA,2005,330.405402707025
Uganda,UGA,2004,292.38185796262
Uganda,UGA,2003,250.71543664681
Uganda,UGA,2002,241.984688408335
Uganda,UGA,2001,236.021188853993
Uganda,UGA,2000,258.050338731086
Uganda,UGA,1999,257.921949601357
Uganda,UGA,1998,292.453037058835
Uganda,UGA,1997,286.846637912964
Uganda,UGA,1996,284.698259285733
Uganda,UGA,1995,278.520835668767
Uganda,UGA,1994,198.441987998795
Uganda,UGA,1993,165.616476211716
Uganda,UGA,1992,152.113542415537
Uganda,UGA,1991,182.955897348348
Uganda,UGA,1990,244.987168126806
Uganda,UGA,1989,310.186025249445
Uganda,UGA,1988,395.187660960924
Uganda,UGA,1987,392.97074320479
Uganda,UGA,1986,253.643058810817
Uganda,UGA,1985,234.276502777526
Uganda,UGA,1984,247.516937638636
Uganda,UGA,1983,157.527216922525
Uganda,UGA,1982,156.952422909331
Uganda,UGA,1981,98.6467550654109
Uganda,UGA,1980,93.7506991135184
Uganda,UGA,1979,164.513012181127
Uganda,UGA,1978,190.690145097606
Uganda,UGA,1977,237.584889064205
Uganda,UGA,1976,203.309813650809
Uganda,UGA,1975,201.237292844799
Uganda,UGA,1974,183.71757196626
Uganda,UGA,1973,152.709417587824
Uganda,UGA,1972,136.964736487473
Uganda,UGA,1971,133.468088316131
Uganda,UGA,1970,122.030929585629
Uganda,UGA,1969,116.682296330854
Uganda,UGA,1968,106.851228104531
Uganda,UGA,1967,102.80034732844
Uganda,UGA,1966,101.435414620908
Uganda,UGA,1965,99.9527652325075
Uganda,UGA,1964,68.6259930194368
Uganda,UGA,1963,61.9553768191835
Uganda,UGA,1962,55.5048704604887
Uganda,UGA,1961,56.1759278091596
Uganda,UGA,1960,55.3784976132181
