country,country_code,year,value
Uganda,UGA,2025,
Uganda,UGA,2024,68.487
Uganda,UGA,2023,68.252
Uganda,UGA,2022,67.675
Uganda,UGA,2021,66.45
Uganda,UGA,2020,66.41
Uganda,UGA,2019,66.354
Uganda,UGA,2018,65.775
Uganda,UGA,2017,65.174
Uganda,UGA,2016,64.494
Uganda,UGA,2015,63.831
Uganda,UGA,2014,63.057
Uganda,UGA,2013,62.353
Uganda,UGA,2012,61.579
Uganda,UGA,2011,60.791
Uganda,UGA,2010,59.959
Uganda,UGA,2009,59.157
Uganda,UGA,2008,58.253
Uganda,UGA,2007,57.248
Uganda,UGA,2006,56.118
Uganda,UGA,2005,54.926
Uganda,UGA,2004,53.699
Uganda,UGA,2003,52.414
Uganda,UGA,2002,51.443
Uganda,UGA,2001,50.576
Uganda,UGA,2000,49.64
Uganda,UGA,1999,48.977
Uganda,UGA,1998,48.263
Uganda,UGA,1997,48.026
Uganda,UGA,1996,47.759
Uganda,UGA,1995,47.706
Uganda,UGA,1994,47.675
Uganda,UGA,1993,47.681
Uganda,UGA,1992,47.671
Uganda,UGA,1991,47.549
Uganda,UGA,1990,47.561
Uganda,UGA,1989,47.488
Uganda,UGA,1988,47.476
Uganda,UGA,1987,47.36
Uganda,UGA,1986,45.651
Uganda,UGA,1985,45.496
Uganda,UGA,1984,43.706
Uganda,UGA,1983,43.489
Uganda,UGA,1982,43.309
Uganda,UGA,1981,43.456
Uganda,UGA,1980,43.453
Uganda,UGA,1979,45.385
Uganda,UGA,1978,45.596
Uganda,UGA,1977,45.84
Uganda,UGA,1976,46.169
Uganda,UGA,1975,46.517
Uganda,UGA,1974,46.861
Uganda,UGA,1973,46.992
Uganda,UGA,1972,47.162
Uganda,UGA,1971,47.147
Uganda,UGA,1970,49.621
Uganda,UGA,1969,49.505
Uganda,UGA,1968,49.285
Uganda,UGA,1967,49.006
Uganda,UGA,1966,48.463
Uganda,UGA,1965,48.303
Uganda,UGA,1964,47.846
Uganda,UGA,1963,47.378
Uganda,UGA,1962,46.821
Uganda,UGA,1961,46.271
Uganda,UGA,1960,45.633
