country,country_code,year,value
Uganda,UGA,2025,51384894
Uganda,UGA,2024,50015092
Uganda,UGA,2023,48656601
Uganda,UGA,2022,47312719
Uganda,UGA,2021,45910930
Uganda,UGA,2020,44457152
Uganda,UGA,2019,42999637
Uganda,UGA,2018,41565831
Uganda,UGA,2017,40177388
Uganda,UGA,2016,38799152
Uganda,UGA,2015,37531446
Uganda,UGA,2014,36395539
Uganda,UGA,2013,35337042
Uganda,UGA,2012,34337438
Uganda,UGA,2011,33354543
Uganda,UGA,2010,32390802
Uganda,UGA,2009,31451151
Uganda,UGA,2008,30539553
Uganda,UGA,2007,29653430
Uganda,UGA,2006,28794003
Uganda,UGA,2005,27963289
Uganda,UGA,2004,27154515
Uganda,UGA,2003,26352124
Uganda,UGA,2002,25532870
Uganda,UGA,2001,24745676
Uganda,UGA,2000,24000150
Uganda,UGA,1999,23257281
Uganda,UGA,1998,22515806
Uganda,UGA,1997,21856046
Uganda,UGA,1996,21231550
Uganda,UGA,1995,20665667
Uganda,UGA,1994,20108801
Uganda,UGA,1993,19445161
Uganda,UGA,1992,18785032
Uganda,UGA,1991,18155901
Uganda,UGA,1990,17569897
Uganda,UGA,1989,17010698
Uganda,UGA,1988,16470483
Uganda,UGA,1987,15954170
Uganda,UGA,1986,15467579
Uganda,UGA,1985,15023681
Uganda,UGA,1984,14607677
Uganda,UGA,1983,14221881
Uganda,UGA,1982,13873631
Uganda,UGA,1981,13556452
Uganda,UGA,1980,13275741
Uganda,UGA,1979,13002163
Uganda,UGA,1978,12692113
Uganda,UGA,1977,12359669
Uganda,UGA,1976,12037294
Uganda,UGA,1975,11725240
Uganda,UGA,1974,11424846
Uganda,UGA,1973,11144236
Uganda,UGA,1972,10885796
Uganda,UGA,1971,10618206
Uganda,UGA,1970,10321603
Uganda,UGA,1969,10014858
Uganda,UGA,1968,9708632
Uganda,UGA,1967,9408924
Uganda,UGA,1966,9122864
Uganda,UGA,1965,8849203
Uganda,UGA,1964,8586363
Uganda,UGA,1963,8333663
Uganda,UGA,1962,8092231
Uganda,UGA,1961,7862217
Uganda,UGA,1960,7640973
