country,country_code,year,value
Uganda,UGA,2025,
Uganda,UGA,2024,
Uganda,UGA,2023,
Uganda,UGA,2022,
Uganda,UGA,2021,
Uganda,UGA,2020,
Uganda,UGA,2019,
Uganda,UGA,2018,
Uganda,UGA,2017,
Uganda,UGA,2016,
Uganda,UGA,2015,
Uganda,UGA,2014,
Uganda,UGA,2013,
Uganda,UGA,2012,
Uganda,UGA,2011,
Uganda,UGA,2010,
Uganda,UGA,2009,
Uganda,UGA,2008,
Uganda,UGA,2007,24.0911102294922
Uganda,UGA,2006,
Uganda,UGA,2005,
Uganda,UGA,2004,19.1225490570068
Uganda,UGA,2003,
Uganda,UGA,2002,
Uganda,UGA,2001,
Uganda,UGA,2000,
Uganda,UGA,1999,
Uganda,UGA,1998,
Uganda,UGA,1997,10.1793003082275
Uganda,UGA,1996,
Uganda,UGA,1995,10.6459398269653
Uganda,UGA,1994,10.2928104400635
Uganda,UGA,1993,10.0285797119141
Uganda,UGA,1992,10.0910997390747
Uganda,UGA,1991,10.3139801025391
Uganda,UGA,1990,11.0182104110718
Uganda,UGA,1989,
Uganda,UGA,1988,11.3819599151611
Uganda,UGA,1987,10.7959995269775
Uganda,UGA,1986,9.7850399017334
Uganda,UGA,1985,8.47751045227051
Uganda,UGA,1984,7.92201995849609
Uganda,UGA,1983,6.74786996841431
Uganda,UGA,1982,7.60493993759155
Uganda,UGA,1981,5.11131000518799
Uganda,UGA,1980,4.8145899772644
Uganda,UGA,1979,4.45361995697021
Uganda,UGA,1978,4.35549020767212
Uganda,UGA,1977,4.27235984802246
Uganda,UGA,1976,4.16145992279053
Uganda,UGA,1975,3.52420997619629
Uganda,UGA,1974,3.50662994384766
Uganda,UGA,1973,3.5278799533844
Uganda,UGA,1972,
Uganda,UGA,1971,
Uganda,UGA,1970,3.47943997383118
Uganda,UGA,1969,
Uganda,UGA,1968,
Uganda,UGA,1967,
Uganda,UGA,1966,
Uganda,UGA,1965,
Uganda,UGA,1964,
Uganda,UGA,1963,
Uganda,UGA,1962,
Uganda,UGA,1961,
Uganda,UGA,1960,
