country,country_code,year,value
Uganda,UGA,2025,2.746
Uganda,UGA,2024,2.74
Uganda,UGA,2023,2.754
Uganda,UGA,2022,2.885
Uganda,UGA,2021,3.416
Uganda,UGA,2020,3.819
Uganda,UGA,2019,3.057
Uganda,UGA,2018,3.249
Uganda,UGA,2017,3.428
Uganda,UGA,2016,3.002
Uganda,UGA,2015,2.681
Uganda,UGA,2014,2.357
Uganda,UGA,2013,1.91
Uganda,UGA,2012,3.551
Uganda,UGA,2011,3.523
Uganda,UGA,2010,3.623
Uganda,UGA,2009,3.6
Uganda,UGA,2008,3.035
Uganda,UGA,2007,2.667
Uganda,UGA,2006,2.264
Uganda,UGA,2005,1.9
Uganda,UGA,2004,2.699
Uganda,UGA,2003,3.6
Uganda,UGA,2002,3.5
Uganda,UGA,2001,3.522
Uganda,UGA,2000,3.531
Uganda,UGA,1999,3.46
Uganda,UGA,1998,3.424
Uganda,UGA,1997,3.209
Uganda,UGA,1996,3.169
Uganda,UGA,1995,3.193
Uganda,UGA,1994,3.458
Uganda,UGA,1993,3.487
Uganda,UGA,1992,3.553
Uganda,UGA,1991,3.448
Uganda,UGA,1990,
Uganda,UGA,1989,
Uganda,UGA,1988,
Uganda,UGA,1987,
Uganda,UGA,1986,
Uganda,UGA,1985,
Uganda,UGA,1984,
Uganda,UGA,1983,
Uganda,UGA,1982,
Uganda,UGA,1981,
Uganda,UGA,1980,
Uganda,UGA,1979,
Uganda,UGA,1978,
Uganda,UGA,1977,
Uganda,UGA,1976,
Uganda,UGA,1975,
Uganda,UGA,1974,
Uganda,UGA,1973,
Uganda,UGA,1972,
Uganda,UGA,1971,
Uganda,UGA,1970,
Uganda,UGA,1969,
Uganda,UGA,1968,
Uganda,UGA,1967,
Uganda,UGA,1966,
Uganda,UGA,1965,
Uganda,UGA,1964,
Uganda,UGA,1963,
Uganda,UGA,1962,
Uganda,UGA,1961,
Uganda,UGA,1960,
