country,country_code,year,value
United States,USA,2025,
United States,USA,2024,78.890243902439
United States,USA,2023,78.3853658536585
United States,USA,2022,77.4341463414634
United States,USA,2021,76.3292682926829
United States,USA,2020,76.9804878048781
United States,USA,2019,78.7878048780488
United States,USA,2018,78.6390243902439
United States,USA,2017,78.5390243902439
United States,USA,2016,78.5390243902439
United States,USA,2015,78.690243902439
United States,USA,2014,78.8414634146341
United States,USA,2013,78.7414634146342
United States,USA,2012,78.7414634146342
United States,USA,2011,78.6414634146341
United States,USA,2010,78.5414634146342
United States,USA,2009,78.390243902439
United States,USA,2008,78.0390243902439
United States,USA,2007,77.9878048780488
United States,USA,2006,77.6878048780488
United States,USA,2005,77.4878048780488
United States,USA,2004,77.4878048780488
United States,USA,2003,77.0365853658537
United States,USA,2002,76.9365853658537
United States,USA,2001,76.8365853658537
United States,USA,2000,76.6365853658537
United States,USA,1999,76.5829268292683
United States,USA,1998,76.5804878048781
United States,USA,1997,76.4292682926829
United States,USA,1996,76.0268292682927
United States,USA,1995,75.6219512195122
United States,USA,1994,75.619512195122
United States,USA,1993,75.419512195122
United States,USA,1992,75.6170731707317
United States,USA,1991,75.3658536585366
United States,USA,1990,75.2146341463415
United States,USA,1989,75.0170731707317
United States,USA,1988,74.7658536585366
United States,USA,1987,74.7658536585366
United States,USA,1986,74.6146341463415
United States,USA,1985,74.5634146341464
United States,USA,1984,74.5634146341464
United States,USA,1983,74.4634146341463
United States,USA,1982,74.3609756097561
United States,USA,1981,74.009756097561
United States,USA,1980,73.609756097561
United States,USA,1979,73.8048780487805
United States,USA,1978,73.3560975609756
United States,USA,1977,73.2560975609756
United States,USA,1976,72.8560975609756
United States,USA,1975,72.6048780487805
United States,USA,1974,71.9560975609756
United States,USA,1973,71.3560975609756
United States,USA,1972,71.1560975609756
United States,USA,1971,71.1073170731707
United States,USA,1970,70.8073170731707
United States,USA,1969,70.5073170731708
United States,USA,1968,69.9512195121951
United States,USA,1967,70.5609756097561
United States,USA,1966,70.2121951219512
United States,USA,1965,70.2146341463415
United States,USA,1964,70.1658536585366
United States,USA,1963,69.9170731707317
United States,USA,1962,70.119512195122
United States,USA,1961,70.2707317073171
United States,USA,1960,69.7707317073171
