country,country_code,year,value
United States,USA,2025,
United States,USA,2024,
United States,USA,2023,
United States,USA,2022,97.4734878540039
United States,USA,2021,101.192489624023
United States,USA,2020,100.509819030762
United States,USA,2019,100.063430786133
United States,USA,2018,99.2755813598633
United States,USA,2017,98.9523391723633
United States,USA,2016,98.7699279785156
United States,USA,2015,97.6525497436523
United States,USA,2014,96.9245376586914
United States,USA,2013,96.1864929199219
United States,USA,2012,
United States,USA,2011,
United States,USA,2010,
United States,USA,2009,
United States,USA,2008,
United States,USA,2007,
United States,USA,2006,
United States,USA,2005,95.0524826049805
United States,USA,2004,
United States,USA,2003,
United States,USA,2002,
United States,USA,2001,
United States,USA,2000,
United States,USA,1999,94.3246765136719
United States,USA,1998,94.4218521118164
United States,USA,1997,
United States,USA,1996,94.0091171264648
United States,USA,1995,94.1738662719727
United States,USA,1994,96.447883605957
United States,USA,1993,96.611701965332
United States,USA,1992,
United States,USA,1991,95.643310546875
United States,USA,1990,97.017578125
United States,USA,1989,
United States,USA,1988,
United States,USA,1987,97.0655136108398
United States,USA,1986,96.5641403198242
United States,USA,1985,95.6162261962891
United States,USA,1984,97.0303421020508
United States,USA,1983,96.2882537841797
United States,USA,1982,97.2789306640625
United States,USA,1981,94.2881774902344
United States,USA,1980,94.5759201049805
United States,USA,1979,80.3114318847656
United States,USA,1978,85.6170272827148
United States,USA,1977,84.9338073730469
United States,USA,1976,84.4429779052734
United States,USA,1975,84.0370025634766
United States,USA,1974,84.0231704711914
United States,USA,1973,
United States,USA,1972,84.2062911987305
United States,USA,1971,83.3990478515625
United States,USA,1970,
United States,USA,1969,
United States,USA,1968,
United States,USA,1967,
United States,USA,1966,
United States,USA,1965,
United States,USA,1964,
United States,USA,1963,
United States,USA,1962,
United States,USA,1961,
United States,USA,1960,
